25. 2K-DeW  [God a pain cover?]    [ＧＡＭＥ　ｅｐｒｉｓ@宮城県@東北] Score: 1570608211 
30. QWERTZ  [不撓不屈]    [ビーカム松森店@宮城県@東北] Score: 1569269327 
65. U5*  [MY FIRST GOD]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1562290423 
88. NORIp  [千本桜神]    [アミューズメントパークサムワン@宮城県@東北] Score: 1558029008 
124. 9_tan*40  [一番星☆☆☆]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1545828010 
236. BYDO  [宮城勢]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1497637648 
259. WAKIDON  [おにぎりむしゃ～り！]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1484994059 
260. Tac  [PaⅢ.GOD]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1484825860 
282. AINA  [魔界帝王]    [ゲームコーナー東部@宮城県@東北] Score: 1471299916 
295. NIMR  [初代☆☆☆☆☆]    [ビーカム松森店@宮城県@東北] Score: 1465600544 
353. TATHI  [金色の異端児]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1424050840 
462. JOREN3rd  [無名の神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1327981746 
497. TSL  [ヘリで来た。]    [プレイランドエフワンＲ@宮城県@東北] Score: 1302231386 
508. MARISA  [普通の魔法使い]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1292719999 
596. BLAZE283  [世界で一番宇宙で銀河]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1230308428 
635. RICE  [初代SSS CLASS]    [ゲームコーナー東部@宮城県@東北] Score: 1200460962 
641. Glosoli  [LINK PERFECT]    [タイトー仙台ベガロポリス店@宮城県@東北] Score: 1197193264 
656. Nico252*  [バジリスク]    [プラサカプコン石巻店@宮城県@東北] Score: 1190862621 
660. camnaven  [プラスチックセンセイ]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1187142897 
705. Riznia  [Extra God]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1167885661 
819. sousetsu  [議論神]    [ラウンドワン仙台苦竹店@宮城県@東北] Score: 1107566325 
