1. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1573000000 
2. marirui  [ピッチピチ16歳]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1573000000 
3. newxh  [S級本多忠勝]    [タイトーステーション所沢店@埼玉県@関東] Score: 1573000000 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1572987018 
5. Lasty  [I love "ようこそジャパリパークへ"]    [セガ安城@愛知県@東海] Score: 1572945893 
6. zoroakun  [CELESTIAL GOD]    [ゲームパドック＋１古河店@茨城県@関東] Score: 1572886553 
7. HIHIME  [朱雀]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1572815588 
8. WARNING  [WARNING!!]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1572811020 
9. Megumin  [全知全能の神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1572616883 
10. Shisa  [契約ゴッド]    [ジャムジャム神栖店@茨城県@関東] Score: 1572352721 
11. pillow  [ちょっぴりセクシー]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1572324815 
12. Hirojixi  [夢現神]    [セガ安城@愛知県@東海] Score: 1572323043 
13. DogDept.  [アドリブ調査員]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1572282852 
14. ERION+++  [AUG, 2017 TOP RANKER]    [ラウンドワン宇都宮店@栃木県@関東] Score: 1572269947 
15. B  [バーニングフォースゴッド]    [セガ安城@愛知県@東海] Score: 1572246610 
16. Hazuneko  [猫神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1572173820 
17. TyonTa  [腹ぺこ]    [タイトーイン綾瀬@東京都@関東] Score: 1571942071 
18. CROW  [Burst GOD]    [タイトーステーション池袋西口店@東京都@関東] Score: 1571909350 
19. LIMIO  [未確認幻想飛行少女]    [ラウンドワン盛岡店@岩手県@東北] Score: 1571792498 
20. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1571667374 
21. mikan?  [絶対思想啓蒙局神]    [ラウンドワン青森店@青森県@東北] Score: 1571621653 
22. L.pis*YY  [労働反対神]    [ＴＡＣ郡山@福島県@東北] Score: 1571482130 
23. SofLan  [超シューティング神]    [タイトーステーション浅草店@東京都@関東] Score: 1571051501 
24. LUCA  [MAD GOD]    [アドアーズ橋本@神奈川県@関東] Score: 1571039337 
25. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1571021429 
26. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1570986879 
27. SKYMAN  []-[|/34&lt;#! 60|)]    [スターダスト@岡山県@中国] Score: 1570915887 
28. LEMON-E  [オツキミ神]    [ラッキー八千代店@千葉県@関東] Score: 1570715856 
