21. mikan?  [絶対思想啓蒙局神]    [ラウンドワン青森店@青森県@東北] Score: 1571621653 
67. BRO  [細い神]    [セガ弘前@青森県@東北] Score: 1564314101 
89. FIEL  [未来も、希望も、奪還する！]    [スペースファンタジーインフィニ@青森県@東北] Score: 1560516183 
170. ())  [渾沌の神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1532405454 
185. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1523506203 
295. YURA*ch  [サイエンスゴッド]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1467572237 
310. IZAWA/  [REV. × GC 達人]    [ユーズランド下田店@青森県@東北] Score: 1460619386 
322. shogoHG  [グルーヴ五千段]    [スペースファンタジーインフィニ@青森県@東北] Score: 1445598628 
331. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1442673254 
437. Z.F  [THE EMBRYON]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1351142449 
439. masaki  [GHOST]    [スペースイン@青森県@東北] Score: 1351006268 
542. ENBI-N  [God hive of Ra]    [ゲームフェスタミタマ@青森県@東北] Score: 1270163602 
574. Noeleve  [全知全能の神]    [スペースファンタジーインフィニ@青森県@東北] Score: 1251010291 
587. nEkO?  [甘い甘い神様]    [ファンタジードーム八戸@青森県@東北] Score: 1238721254 
611. IST-GC3L  [I love でんぱ組.inc]    [セガ弘前@青森県@東北] Score: 1221439504 
663. YUSUKE  [強欲の魔法使い]    [ユーズランド下田店@青森県@東北] Score: 1189585116 
720. ARUSU()  [GOD]    [セガ弘前@青森県@東北] Score: 1165749485 
817. TENTAI2  [天体観測神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1114432261 
