6. zoroakun  [零式神]    [セガ水戸@茨城県@関東] Score: 1572888225 
10. Shisa  [契約ゴッド]    [セガ水戸@茨城県@関東] Score: 1572355490 
90. KEYJILL*  [神様の詫び証文]    [セガ水戸@茨城県@関東] Score: 1560028617 
103. Shin  [OVER THE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1557179311 
108. SCOTT  [春夏秋冬の神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1555972852 
140. PICO  [羅刹神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1542720963 
192. ZE4MI  [旧渋谷神]    [セガ水戸@茨城県@関東] Score: 1521268813 
234. Twilight  [四天王奥義「三歩必殺」]    [ジャムジャムつくば店@茨城県@関東] Score: 1502927669 
261. EB1FLY  [Gaiden GOD]    [セガ水戸@茨城県@関東] Score: 1488201579 
276. JACK.O  [語られる怪力乱神]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1479468297 
281. L+Crante  [Ｓ＋級チョコレート]    [セガ水戸@茨城県@関東] Score: 1477570879 
289. UFORANGE  [I love "オレンジ"]    [セガ水戸@茨城県@関東] Score: 1470912901 
336. LUY17/  [Keep the Fujin]    [ジョイプラザ龍ヶ崎店@茨城県@関東] Score: 1440190468 
354. MALEAIA  [死ぬがよい。]    [ジャムジャムつくば店@茨城県@関東] Score: 1426568640 
377. Ralickma  [クラーケン]    [ジャムジャムつくば店@茨城県@関東] Score: 1410681628 
432. KANI  [RAVE GOD]    [セガ水戸@茨城県@関東] Score: 1355389451 
444. TOMONOBU  [S級徳川家康]    [ゲームパドック＋１古河店@茨城県@関東] Score: 1345089294 
456. JADECAT  [猫神]    [ジョイプラザ龍ヶ崎店@茨城県@関東] Score: 1338068557 
482. ScarRed  [永遠に紅い幼き月]    [ピンクパンサー日立店@茨城県@関東] Score: 1315529784 
607. IKU*LEA  [第三回天下一音ゲ祭 ファイナリスト]    [セガワールド龍ヶ崎@茨城県@関東] Score: 1223581514 
613. KasuKasu  [I love "Shadow"]    [ジョイプラザ龍ヶ崎店@茨城県@関東] Score: 1219983567 
615. clear  [LINK LINK GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1216415696 
676. GXE10  [死欲の半霊]    [ピンクパンサー那珂店@茨城県@関東] Score: 1184329255 
690. pt*fl153  [I LOVE バブルン]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1179670419 
702. HIDE  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [セガ水戸@茨城県@関東] Score: 1172348352 
777. mdr  [WONDERFUL]    [ピンクパンサー日立店@茨城県@関東] Score: 1136620071 
832. zinchan  [天馬と奏でる音楽家]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1106220911 
908. Snail  [キャッチ・ザ・ハート]    [ピンクパンサー那珂店@茨城県@関東] Score: 1064706789 
927. Alice?  [I love "Dreamer"]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1056693364 
962. Galatea.  [Ever…]    [ジャムジャム神栖店@茨城県@関東] Score: 1036247371 
