38. TaNiTi  [I love "Black MInD"]    [ナムコランド広島店@広島県@中国] Score: 1569277177 
47. 44327  [31337神]    [ラウンドワン福山店@広島県@中国] Score: 1567992134 
80. SMP  [DIVINE GOD]    [ナムコランド広島店@広島県@中国] Score: 1562634324 
122. Mojo  [天下無双]    [ビバーチャ@広島県@中国] Score: 1550916270 
206. Chuckey  [SERIOUS LOOK]    [ビバーチャ@広島県@中国] Score: 1511850993 
226. MONO  [ドーモ、グルーヴァー=サン…]    [ギガゾーン広島駅前店@広島県@中国] Score: 1505522656 
230. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1504687690 
264. ZoKoSu  [I love "ようこそジャパリパークへ"]    [セガ海田@広島県@中国] Score: 1487484886 
296. Naoki*  [God noir forever.]    [ナムコランド広島店@広島県@中国] Score: 1467338817 
416. Indigo  [ジルバラードのエンジェル]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1372885257 
508. A.N.C.B.  [GROOVER]    [ビバーチャ@広島県@中国] Score: 1300944013 
530. U-TaM*G3  [Marry me, God]    [ナムコランド広島店@広島県@中国] Score: 1277669027 
672. T_TOSHI  [リヴァイアサン]    [アルティランド@広島県@中国] Score: 1185285144 
724. uroco@99  [うー！がぉー！]    [ナムコランド広島店@広島県@中国] Score: 1164518344 
801. JACK*  [第三回天下一音ゲ祭 ファイナリスト]    [ナムコランド広島店@広島県@中国] Score: 1123254574 
887. RYOUKI  [GOD]    [ナムコランド広島店@広島県@中国] Score: 1073107714 
954. MinT  [I love t+pazolite]    [アミパラここじゃ@広島県@中国] Score: 1040977687 
991. *COCO*  [SERIOUS LOOK]    [ビバーチャ@広島県@中国] Score: 1021836486 
