43. mikan?  [絶対思想啓蒙局神]    [青森メトロポリス@青森県@東北] Score: 1572614623 
55. BRO  [フロストキング]    [スペースファンタジーインフィニ@青森県@東北] Score: 1570379955 
72. FIEL  [未来も、希望も、奪還する！]    [スペースファンタジーインフィニ@青森県@東北] Score: 1566523249 
164. ())  [渾沌の神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1538805506 
195. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1523506203 
299. YURA*ch  [サイエンスゴッド]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1467572237 
307. IZAWA/  [REV. × GC 達人]    [ユーズランド下田店@青森県@東北] Score: 1464574012 
317. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1455677031 
329. shogoHG  [グルーヴ五千段]    [スペースファンタジーインフィニ@青森県@東北] Score: 1445598628 
442. Z.F  [THE EMBRYON]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1351142449 
443. masaki  [GHOST]    [スペースイン@青森県@東北] Score: 1351006268 
530. ENBI-N  [Plot Type 3 God]    [ゲームフェスタミタマ@青森県@東北] Score: 1280131296 
575. Noeleve  [全知全能の神]    [スペースファンタジーインフィニ@青森県@東北] Score: 1251010291 
586. nEkO?  [Maiami God]    [青森メトロポリス@青森県@東北] Score: 1240617039 
614. IST-GC3L  [I love でんぱ組.inc]    [セガ弘前@青森県@東北] Score: 1221439504 
658. YUSUKE  [強欲の魔法使い]    [ユーズランド下田店@青森県@東北] Score: 1193597321 
725. ARUSU()  [GOD]    [セガ弘前@青森県@東北] Score: 1165749485 
822. TENTAI2  [天体観測神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1114432261 
