9. B  [SEP, 2017 TOP RANKER]    [セガ安城@愛知県@東海] Score: 1578259713 
17. Lasty  [I love "ようこそジャパリパークへ"]    [安城メトロポリス@愛知県@東海] Score: 1576945304 
26. HAK0BUNE  [9周年神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1574654887 
45. Hirojixi  [夢現神]    [タイトーステーション大須店@愛知県@東海] Score: 1572328510 
60. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1569562985 
67. HIKARU  [アスノヨゾラ神班]    [コムテックタワー@愛知県@東海] Score: 1568821430 
79. M2*NI53  [NEPTUNE]    [コムテックタワー@愛知県@東海] Score: 1565345312 
84. CATENARY  [I love "2112410403927243233368"]    [セガ金山@愛知県@東海] Score: 1564382604 
104. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1559817533 
149. karinPTV  [I love IOSYS]    [セガイオンタウン名西@愛知県@東海] Score: 1543077711 
152. daisuki  [ゆっくりしていってね！]    [ラウンドワン鳴海店@愛知県@東海] Score: 1541755944 
160. NOGUnSO  [ブローン自走要塞]    [セガ安城@愛知県@東海] Score: 1539519422 
163. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1539229328 
166. SPIRYTUS  [2003 GOD]    [タイトーステーション大須店@愛知県@東海] Score: 1538357832 
201. MiKUya  [シンセサイザ ゴッド]    [安城メトロポリス@愛知県@東海] Score: 1517683854 
205. NANAMI!?  [ノルニル神]    [タイトーステーション大須店@愛知県@東海] Score: 1516278460 
224. AKIO  [I love "Invader GIRL!"]    [アミューズファクトリー@愛知県@東海] Score: 1508874872 
237. #KEN*  [URANUS]    [豊川メトロポリス@愛知県@東海] Score: 1504173148 
239. mrskon-G  [旅人]    [セガワールド上小田井@愛知県@東海] Score: 1503614735 
247. HiBi  [絶対思想啓蒙局神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1497985758 
266. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1488342973 
280. Slug  [STORM CAUSER]    [ステーション２０１@愛知県@東海] Score: 1479778371 
282. NAOTOMO  [仮初の満足]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1479255856 
318. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1455047442 
320. HERM+G  [歌って踊れるゲーマーアイドル]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1452964510 
365. GGO  [次の曲が始まるのです女神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1419724779 
368. HOSOus  [イフリート]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1418544880 
370. St.Rhea  [I LOVE ZUNTATA]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1417605340 
