47. Shikyo  [SEP, 2017 TOP RANKER]    [キャッツアイ麻生店@北海道@北海道] Score: 1573747325 
73. LEE  [キャプテン・ムラサ]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1569434954 
74. Rinne!?  [バーカバーカ！]    [プラボ札幌西町店@北海道@北海道] Score: 1569337550 
134. chris  [Detonator God]    [キャッツアイ篠路店@北海道@北海道] Score: 1550783396 
178. Sasuke  [神・玖段]    [ビッグバン釧路@北海道@北海道] Score: 1533822978 
224. SCP-106  [たのしー！]    [キャッツアイ篠路店@北海道@北海道] Score: 1510804778 
233. Tokky  [MY FIRST GOD]    [キャッツアイ麻生店@北海道@北海道] Score: 1506965010 
259. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1494892866 
296. Ayahi  [I love "Five to Seven"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1470873356 
302. BIS(9)  [I love チルノ]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1468526866 
319. HAOKA  [北海道勢]    [ラウンドワン函館店@北海道@北海道] Score: 1455677031 
322. CHIK.WAV  [バーカバーカ！]    [ラウンドワン札幌白石本通店@北海道@北海道] Score: 1452296147 
337. COACH  [白虎]    [タイトーステーション札幌狸小路@北海道@北海道] Score: 1442700118 
346. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1436857048 
347. +HAKASE+  [「明日はきっと雨だ。」]    [ギャラクシーゲート函館@北海道@北海道] Score: 1436125498 
362. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1423760051 
421. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1370954422 
423. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1370149925 
465. kanna  [第三回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1334199601 
490. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1315195805 
505. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1304088125 
597. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1235994589 
680. tzw10430  [独りんぼ神]    [キャッツアイ清田店@北海道@北海道] Score: 1183755570 
752. SHINDEN  [Chaos God]    [キャッツアイ篠路店@北海道@北海道] Score: 1152336712 
773. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1141405762 
776. AYATAKA  [パンプキン大王]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1140916887 
778. KANONE  [永遠の中二病]    [ギャラクシーゲート函館@北海道@北海道] Score: 1140299046 
781. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1139338215 
812. NAZO-J.I  [G.T.]    [キャッツアイ新札幌店@北海道@北海道] Score: 1120937898 
815. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1118618339 
847. BOLUX  [Get down everybody!]    [キャッツアイ手稲店@北海道@北海道] Score: 1097584449 
854. ++CaL+/  [Ｓ＋級からあげ]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1094064940 
886. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1078063451 
900. MoyaC.  [とんすひ勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1071247872 
929. Jibri-l*  [Scarlet Lance God]    [キャッツアイ麻生店@北海道@北海道] Score: 1058273532 
935. Oriens  [God's Blood]    [キャッツアイ麻生店@北海道@北海道] Score: 1056286952 
955. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1044515972 
969. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1034601509 
973. A-CID  [スターミュージシャン]    [プラボ小樽店@北海道@北海道] Score: 1032274313 
