63. LEMON-E  [オツキミ神]    [ＳＵＰＥＲＷＡＶＥ静岡店@静岡県@東海] Score: 1572713995 
123. Cocoa.*  [HARDCORE SYNDROME]    [セガワールド静岡@静岡県@東海] Score: 1556468398 
135. Shougo99  [神・弐級]    [ラウンドワン浜松店@静岡県@東海] Score: 1550426467 
158. Vedr  [練習中]    [セガワールドサントムーン@静岡県@東海] Score: 1542077083 
168. arisia  [バーカバーカ！]    [タイトーステーション浜松店@静岡県@東海] Score: 1539431113 
257. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1495602252 
285. shinobu  [夏だ！海だ！初音ミク]    [プラサカプコン志都呂店@静岡県@東海] Score: 1480107741 
289. WATTA  [四季の最高裁判長]    [ＡＧスクエア磐田@静岡県@東海] Score: 1474948070 
305. G.srtkm  [I love "行くぜっ！怪盗少女"]    [ＴＦＳイオンモール浜松市野店@静岡県@東海] Score: 1468265125 
326. quell  [フィフス・フォース]    [ラウンドワン浜松店@静岡県@東海] Score: 1448929028 
357. KU-NERU  [[ 9 ]]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1427140653 
399. M  [GROOVER]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1395264103 
481. Roku  [ルーキー]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1319851001 
483. VOUZZZZZ  [排除する！]    [ポート２４　浜松店@静岡県@東海] Score: 1318680086 
498. BOY  [I love STG]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1312340317 
523. Y0S1TUN3  [宇宙最速]    [ＳＵＰＥＲＷＡＶＥ静岡店@静岡県@東海] Score: 1290735544 
570. Yize  [EXTREME]    [サードプラネットＢｉＶｉ沼津店@静岡県@東海] Score: 1255549893 
789. HL  [LINK LINK KING]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1133974343 
820. *SHEEP*  [十二宗家]    [タイトーステーション浜松店@静岡県@東海] Score: 1117492211 
899. PON-05  [GROOVER]    [ジョイランド　アミューズ諏訪@静岡県@東海] Score: 1074159378 
909. Lexia.  [ワーウルフ]    [セガワールドサントムーン@静岡県@東海] Score: 1069865001 
950. Coinst  [栃木勢]    [サードプラネットＢｉＶｉ沼津店@静岡県@東海] Score: 1048100457 
