52. Shikyo  [TGM神]    [キャッツアイ麻生店@北海道@北海道] Score: 1573906390 
57. LEE  [山坂と湖の権化]    [キャッツアイ恵庭店@北海道@北海道] Score: 1573440147 
92. Sasuke  [Phone Dead God]    [ビッグバン釧路@北海道@北海道] Score: 1565781850 
125. chris  [Detonator God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1555706807 
227. SCP-106  [たのしー！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1510804778 
232. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1508916089 
260. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1494893953 
299. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1470875714 
306. BIS(9)  [I love チルノ]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1468526866 
324. CHIK.WAV  [バーカバーカ！]    [タイトーステーション千歳店@北海道@北海道] Score: 1452311400 
340. COACH  [白虎]    [タイトーステーション札幌狸小路@北海道@北海道] Score: 1442700118 
346. +HAKASE+  [「明日はきっと雨だ。」]    [ラウンドワン函館店@北海道@北海道] Score: 1438283628 
348. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1436857596 
361. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1425771858 
417. NEB  [リヴァイアサン]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1377669808 
422. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1371985356 
424. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1371071710 
490. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1316205346 
505. Kamui.  [悪ノ女神]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1305037174 
599. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1237817168 
677. tzw10430  [独りんぼ神]    [タイトーイオンモール札幌平岡店@北海道@北海道] Score: 1185504680 
723. AYATAKA  [パンプキン神]    [キャッツアイ手稲店@北海道@北海道] Score: 1168642445 
756. SHINDEN  [Chaos God]    [キャッツアイ篠路店@北海道@北海道] Score: 1152336712 
777. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1141405762 
780. KANONE  [永遠の中二病]    [ギャラクシーゲート函館@北海道@北海道] Score: 1140299046 
783. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1139338215 
814. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1123148496 
819. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1118618339 
852. BOLUX  [RED ALERT]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1098605344 
858. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1094064940 
888. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1078063451 
904. MoyaC.  [とんすひ勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1071248847 
931. Jibri-l*  [Scarlet Lance God]    [キャッツアイ麻生店@北海道@北海道] Score: 1058273532 
938. Oriens  [God's Blood]    [キャッツアイ麻生店@北海道@北海道] Score: 1056286952 
959. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1044700986 
968. A-CID  [スターミュージシャン]    [プラボ小樽店@北海道@北海道] Score: 1039865632 
976. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1034601509 
