7. Lasty  [I love "ようこそジャパリパークへ"]    [セガ金山@愛知県@東海] Score: 1572960482 
15. Hirojixi  [夢現神]    [セガ金山@愛知県@東海] Score: 1572348057 
16. B  [練習中]    [セガ安城@愛知県@東海] Score: 1572290228 
38. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1569559140 
45. HAK0BUNE  [真・一溝段]    [セガ金山@愛知県@東海] Score: 1568725675 
58. CATENARY  [I love "2112410403927243233368"]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1567424869 
77. HIKARU  [うー！がぉー！]    [コムテックタワー@愛知県@東海] Score: 1562874544 
80. M2*NI53  [NEPTUNE]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1562634736 
114. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1554472059 
156. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1539074593 
157. karinPTV  [I love "Lost Colors"]    [セガワールド上小田井@愛知県@東海] Score: 1537368329 
158. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1536767619 
167. NOGUnSO  [Ｓ級幼稚園児]    [セガ安城@愛知県@東海] Score: 1534218298 
171. SPIRYTUS  [2003 GOD]    [タイトーステーション大須店@愛知県@東海] Score: 1532433181 
209. MiKUya  [シンセサイザ ゴッド]    [セガ金山@愛知県@東海] Score: 1512792276 
211. HiBi  [絶対思想啓蒙局神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1512053197 
212. AKIO  [I love "Invader GIRL!"]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1511491832 
216. NANAMI!?  [紅蓮の弓矢 God]    [ＧＲＥＡ@愛知県@東海] Score: 1510281121 
238. mrskon-G  [旅人]    [タイトーステーション大須店@愛知県@東海] Score: 1500180371 
244. #KEN*  [URANUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1498683849 
267. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1485466880 
280. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1476199366 
286. Slug  [STORM CAUSER]    [ステーション２０１@愛知県@東海] Score: 1474794577 
320. HERM+G  [I love IOSYS]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1453134074 
323. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1449249317 
364. pcfx  [I love IOSYS]    [セガワールド上小田井@愛知県@東海] Score: 1418646308 
369. St.Rhea  [I LOVE ZUNTATA]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1417837311 
376. GGO  [次の曲が始まるのです女神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1413928221 
430. PRESTIGE  [フィギュアヘッズ勢]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1361635455 
444. TONEMA  [パンプキン神]    [安城メトロポリス@愛知県@東海] Score: 1345500263 
448. Alice  [死ぬがよい。]    [Ｍ’Ｓ　ＰＡＲＫ刈谷店@愛知県@東海] Score: 1343964548 
476. R.EIMU  [操符「マリオネットパラル」]    [タイトーステーション弥富店@愛知県@東海] Score: 1319326051 
517. Y0S1TUN3  [宇宙最速]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1291878365 
527. Sasanqua  [初代SSS CLASS]    [アーバンスクエア大須@愛知県@東海] Score: 1282470313 
528. FUKAKEN  [ANTI-GOD]    [アミューズファクトリー@愛知県@東海] Score: 1281058780 
545. 0_0  [がっかリンカちゃん]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1269324026 
577. CAUTION!  [GHOST]    [キングジョイ@愛知県@東海] Score: 1247741404 
581. NETABARE  [I am King]    [ポート２４八事店@愛知県@東海] Score: 1246107914 
606. ITODA  [そんなんARIKA]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1226785975 
617. NANARI  [I love "怪談「カーナビ」"]    [セガ金山@愛知県@東海] Score: 1216899138 
656. ethyl  [31337先生]    [タイトーステーション大須店@愛知県@東海] Score: 1191927241 
666. YKL  [キャッチ・ザ・ハート]    [コムテックタワー@愛知県@東海] Score: 1187983074 
725. KEY.MA  [小さなスイートポイズン]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1163019978 
751. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1150175756 
797. ZU  [クラーケン]    [タイトーステーション大須店@愛知県@東海] Score: 1127516443 
802. NYUDORA  [I love "MERLIN"]    [セガ金山@愛知県@東海] Score: 1125461839 
804. rikuoh-M  [幸福理論神]    [アミューズファクトリー@愛知県@東海] Score: 1124304703 
813. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1119009097 
816. mkt  [ケンタウロス]    [セガワールド尾西@愛知県@東海] Score: 1117654478 
859. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1089803340 
860. Gemma  [JUPITER]    [ポート２４幸田店@愛知県@東海] Score: 1088851081 
866. Astral  [Z神]    [コムテックスクウェア@愛知県@東海] Score: 1085272203 
867. KEISUKE  [グルーヴ皆伝]    [ラウンドワン半田店@愛知県@東海] Score: 1084905572 
891. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1072933784 
901. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1068941712 
928. SYAGE  [どんつくどんつくどんつくどんつく]    [セガ金山@愛知県@東海] Score: 1057036052 
929. DJGEN115  [ベテラン]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1056910886 
947. m_noburi  [お断ユメちゃん！]    [名古屋レジャーランド　内田橋店@愛知県@東海] Score: 1046929085 
948. Al  [今までごめん女神]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1046909953 
978. C*Crow:S  [Future Coaster God]    [セガ岡崎@愛知県@東海] Score: 1029917788 
980. TK  [GROOVER]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1028038310 
994. Iris*HNY  [最速最高神]    [タイトーステーション大須店@愛知県@東海] Score: 1020767757 
999. MINT  [BIG SLOPE]    [小牧メトロポリス@愛知県@東海] Score: 1019270651 
