14. CROW  [天衣無縫の神霊]    [セガ秋葉原１号館@東京都@関東] Score: 1580984121 
15. TyonTa  [腹ぺこ]    [タイトーイン綾瀬@東京都@関東] Score: 1580941008 
18. PoCkRo.B  [第二回天下一音ゲ祭 ファイナリスト]    [タイトーステーション立川北口店@東京都@関東] Score: 1580263611 
19. LUCA  [MAD GOD]    [タイトーステーション町田店@東京都@関東] Score: 1580225173 
40. SCOTT  [春夏秋冬の神]    [セガ秋葉原１号館@東京都@関東] Score: 1576306764 
48. SofLan  [RAY FORCE GOD]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1574079402 
54. NEO+ex  [風神]    [ハイテクランド　キューデン@東京都@関東] Score: 1573276182 
69. 9M@NO3  [富山勢]    [プレイロットジョイ@東京都@関東] Score: 1570951716 
94. DADDY  [I love "DADDY MULK"]    [タイトーイン綾瀬@東京都@関東] Score: 1564421823 
108. GIL  [二代目超シューティング神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1561231869 
109. Mojo  [天下無双]    [東京レジャーランド秋葉原２号店@東京都@関東] Score: 1560886665 
111. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1560234675 
119. Ryukl*  [破壊神]    [セガ赤羽@東京都@関東] Score: 1558891110 
120. onsenti  [dis-human]    [タイトーステーション池袋西口店@東京都@関東] Score: 1558242466 
130. Eagle.  [Ever…]    [タイトーイン綾瀬@東京都@関東] Score: 1555580432 
143. Nera  [弱虫神]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1548765064 
145. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1547254755 
151. Vedr  [練習中]    [新宿プレイランドカーニバル@東京都@関東] Score: 1545046579 
153. Komimi  [ずんどこずんどこずんどこずんどこ]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1544300287 
164. MIKO  [労働反対神]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1540356993 
174. 44.44  [STAR COASTER GOD]    [Ｈｅｙ@東京都@関東] Score: 1536689413 
180. FSTK  [Chaos God]    [セガワールドアルカス@東京都@関東] Score: 1531333182 
184. Camilia  [ウサテイ神]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1529918657 
186. KUU  [Ｓ＋級ピザ]    [タイトーイン綾瀬@東京都@関東] Score: 1529305503 
187. NANOHA77  [沖縄勢]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1527661708 
191. K-FISHER  [GROOVER]    [ラウンドワン池袋店@東京都@関東] Score: 1527151717 
195. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1524201237 
196. ARuFa  [Good Night, Bad God.]    [タイトーステーション池袋西口店@東京都@関東] Score: 1523851817 
200. TAPE  [踊ってみたら七変化！]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1522027588 
205. remina  [LINK PERFECT]    [セガ神楽坂@東京都@関東] Score: 1519129022 
207. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1518356227 
212. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1514882199 
217. 27  [すっごーい！]    [ラウンドワン町田店@東京都@関東] Score: 1513249216 
221. ZODY  [MikuLenGod]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1512613956 
231. SGK4444  [グルーヴ四万段]    [アムネット五反田店@東京都@関東] Score: 1509112866 
235. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1506301152 
241. Kn3.inc  [でんぱ神]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1503473507 
243. GARYU!!!  [初代SSS CLASS]    [タイトーステーション町田店@東京都@関東] Score: 1502836590 
250. Takato.  [ピュアヒューリーズ]    [タイトーステーション南大沢店@東京都@関東] Score: 1498982384 
252. MAKURO  [奇々怪界神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1498782237 
263. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1489837840 
265. K.K-OTL  [がんばリンカちゃん！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1489499567 
286. RGA  [全都道府県完全制覇]    [セガ秋葉原@東京都@関東] Score: 1476007100 
289. SHIENA  [LOCK]    [セガワールドアルカス@東京都@関東] Score: 1475540529 
305. AKIBOSHI  [ニャスニャス！]    [タイトーステーション立川北口店@東京都@関東] Score: 1464857369 
314. A9  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1460902386 
315. H.MINATO  [Negative God]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1460363627 
325. T.naturu  [空想神]    [セガワールド船堀@東京都@関東] Score: 1450503241 
332. Takane01  [イノベーター]    [セガ秋葉原@東京都@関東] Score: 1444840482 
333. Wing  [GROOVER]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1444018058 
341. 504939  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1438321177 
349. 03312345  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1432972321 
355. Yahiga  [練習中]    [セガ秋葉原１号館@東京都@関東] Score: 1429206478 
