3. marirui  [超COOL!]    [アミューズファクトリー@愛知県@東海] Score: 1582000000 
12. Hirojixi  [夢現神]    [アミューズファクトリー@愛知県@東海] Score: 1581352813 
14. B  [ドリームパーティーキング]    [セガ安城@愛知県@東海] Score: 1581287076 
35. HAK0BUNE  [Groove master?]    [アミューズファクトリー@愛知県@東海] Score: 1577763692 
46. SCOTT  [God ID]    [アミューズファクトリー@愛知県@東海] Score: 1576306764 
55. Lasty  [I love "ようこそジャパリパークへ"]    [アミューズファクトリー@愛知県@東海] Score: 1573958784 
59. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1573363350 
71. HIKARU  [うー！がぉー！]    [コムテックタワー@愛知県@東海] Score: 1571787322 
73. M2*NI53  [NEPTUNE]    [アミューズファクトリー@愛知県@東海] Score: 1571445598 
92. CATENARY  [I love "2112410403927243233368"]    [コムテックタワー@愛知県@東海] Score: 1567431549 
106. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1563291757 
149. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1547561444 
154. VAL  [二代目超シューティング神]    [アミューズファクトリー@愛知県@東海] Score: 1545759395 
161. NOGUnSO  [S級織田信長]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1543025328 
166. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1541695276 
173. karinPTV  [I love "Lost Colors"]    [アミューズファクトリー@愛知県@東海] Score: 1537409278 
180. SPIRYTUS  [2003 GOD]    [タイトーステーション大須店@愛知県@東海] Score: 1532433181 
197. HiBi  [絶対思想啓蒙局神]    [アミューズファクトリー@愛知県@東海] Score: 1526121211 
213. MiKUya  [シンセサイザ ゴッド]    [安城メトロポリス@愛知県@東海] Score: 1515751846 
218. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1514439039 
228. NANAMI!?  [SPARKLING GOD]    [ＧＲＥＡ@愛知県@東海] Score: 1510286907 
237. #KEN*  [URANUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1505527622 
239. Hinata  [I love "マトリョシカ"]    [アミューズファクトリー@愛知県@東海] Score: 1505249477 
258. tsuccho  [岐阜勢]    [中川メトロポリス@愛知県@東海] Score: 1494347482 
273. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1485466880 
283. Slug  [STORM CAUSER]    [ステーション２０１@愛知県@東海] Score: 1478693265 
286. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1476199366 
317. jun1<39>  [MikuMikuGod]    [アミューズファクトリー@愛知県@東海] Score: 1456603273 
327. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1449249317 
360. pcfx  [タイトーLOVE]    [セガワールド上小田井@愛知県@東海] Score: 1424982123 
371. St.Rhea  [I LOVE ZUNTATA]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1420613358 
372. HOSOus  [イフリート]    [キッズインタイトーＧＡＺＡ店@愛知県@東海] Score: 1420365829 
373. AMANE02  [ふたつのARIA]    [アミューズファクトリー@愛知県@東海] Score: 1419976326 
382. GGO  [次の曲が始まるのです女神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1413928221 
434. PRESTIGE  [フィギュアヘッズ勢]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1361638492 
439. TONEMA  [パンプキン神]    [安城メトロポリス@愛知県@東海] Score: 1355453530 
524. Y0S1TUN3  [宇宙最速]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1292816994 
