18. SofLan  [RAY CRISIS GOD]    [タイトーステーション浅草店@東京都@関東] Score: 1587078224 
37. PoCkRo.B  [第二回天下一音ゲ祭 ファイナリスト]    [タイトーステーション立川北口店@東京都@関東] Score: 1584318506 
38. TyonTa  [腹ぺこ]    [タイトーイン綾瀬@東京都@関東] Score: 1583941008 
40. LUCA  [Kick It Out God]    [タイトーステーション町田店@東京都@関東] Score: 1583292176 
42. CROW  [LINK PERFECT]    [タイトーステーション池袋西口店@東京都@関東] Score: 1582978232 
71. 9M@NO3  [Linear Master]    [タイトーステーション立川北口店@東京都@関東] Score: 1577934171 
83. Ryukl*  [Crazy ∞ Goddess]    [セガ赤羽@東京都@関東] Score: 1574889459 
88. BEGINNER  [GROOVER]    [セガ代々木@東京都@関東] Score: 1574165400 
111. DADDY  [I love "DADDY MULK"]    [タイトーイン綾瀬@東京都@関東] Score: 1568253037 
112. GIL  [二代目超シューティング神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1568204391 
125. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1564186242 
135. MIKO  [DREAM PARTY!]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1559729495 
137. RETurn  [I love "怪談「カーナビ」"]    [Ｈｅｙ@東京都@関東] Score: 1559183007 
138. Eagle.  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1558580432 
152. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1553226891 
160. Nera  [弱虫神]    [タイトーステーション立川北口店@東京都@関東] Score: 1550176002 
162. FSTK  [Chaos God]    [セガワールドアルカス@東京都@関東] Score: 1549500296 
170. ukyu  [ふわっふわ15歳]    [Ｈｅｙ@東京都@関東] Score: 1544887470 
173. Komimi  [ずんどこずんどこずんどこずんどこ]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1544300287 
179. KUU  [Ｓ＋級おでん]    [タイトーイン綾瀬@東京都@関東] Score: 1542122063 
186. Camilia  [宇宙最速]    [タイトーステーション池袋西口店@東京都@関東] Score: 1535892834 
187. K-FISHER  [GROOVER]    [ラウンドワン池袋店@東京都@関東] Score: 1535838262 
190. NFRyo  [永遠の中二病]    [ラウンドワンＤＣ東京プラザ店@東京都@関東] Score: 1534040379 
195. NANOHA77  [沖縄勢]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1530620106 
200. ARuFa  [Good Night, Bad God.]    [タイトーステーション池袋西口店@東京都@関東] Score: 1528944848 
201. TAPE  [踊ってみたら七変化！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1528898174 
