16. LUCA  [ノルニル神]    [タイトーステーション町田店@東京都@関東] Score: 1589294220 
22. KER?  [アドリブ係長]    [Ｈｅｙ@東京都@関東] Score: 1587805906 
27. SofLan  [RAY CRISIS GOD]    [タイトーステーション浅草店@東京都@関東] Score: 1587078224 
48. PoCkRo.B  [第二回天下一音ゲ祭 ファイナリスト]    [タイトーステーション立川北口店@東京都@関東] Score: 1584318506 
50. TyonTa  [腹ぺこ]    [タイトーイン綾瀬@東京都@関東] Score: 1583941008 
75. 9M@NO3  [Linear Master]    [タイトーステーション立川北口店@東京都@関東] Score: 1577934171 
87. Ryukl*  [破壊神]    [ラウンドワン板橋店@東京都@関東] Score: 1574890115 
92. BEGINNER  [GROOVER]    [タイトーステーション新宿東口店@東京都@関東] Score: 1574171981 
112. DADDY  [I love "DADDY MULK"]    [タイトーイン綾瀬@東京都@関東] Score: 1568253037 
113. GIL  [二代目超シューティング神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1568204391 
118. NARSAN  [GAME MUSIC TRIANGLER]    [ラウンドワン池袋店@東京都@関東] Score: 1566947593 
126. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1564186242 
131. M4R1S4  [死してなお、愉しい女神]    [セガ池袋ギーゴ@東京都@関東] Score: 1561182825 
135. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1560138086 
137. MIKO  [DREAM PARTY!]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1559729495 
139. RETurn  [I love "怪談「カーナビ」"]    [Ｈｅｙ@東京都@関東] Score: 1559183007 
140. Eagle.  [マスター・オブ・ナイツ]    [タイトーステーション池袋西口店@東京都@関東] Score: 1558580432 
149. Vedr  [練習中]    [タイトーステーション新宿東口店@東京都@関東] Score: 1554102817 
164. Nera  [弱虫神]    [タイトーステーション立川北口店@東京都@関東] Score: 1550176002 
165. FSTK  [Chaos God]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1549531368 
175. ukyu  [ふわっふわ15歳]    [Ｈｅｙ@東京都@関東] Score: 1544887470 
177. Komimi  [ずんどこずんどこずんどこずんどこ]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1544300287 
185. K-FISHER  [GROOVER]    [タイトーイン綾瀬@東京都@関東] Score: 1538722655 
193. NFRyo  [永遠の中二病]    [ラウンドワンＤＣ東京プラザ店@東京都@関東] Score: 1534040379 
195. NANOHA77  [沖縄勢]    [セガ秋葉原@東京都@関東] Score: 1533576961 
198. TAPE  [踊ってみたら七変化！]    [セガ秋葉原１号館@東京都@関東] Score: 1531888447 
203. ARuFa  [Good Night, Bad God.]    [タイトーステーション池袋西口店@東京都@関東] Score: 1528944848 
205. remina  [LINK PERFECT]    [セガ神楽坂@東京都@関東] Score: 1528133481 
212. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1524245198 
213. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1524118631 
215. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1523489084 
228. GARYU!!!  [初代SSS CLASS]    [ラウンドワン八王子店@東京都@関東] Score: 1517295471 
229. mea*  [Punky Funky God]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1517295410 
239. SGK4444  [S級前田慶次]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1512063531 
241. MAKURO  [奇々怪界神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1510929628 
246. Kn3.inc  [でんぱ神]    [Ｈｅｙ@東京都@関東] Score: 1508381451 
257. Takato.  [ピュアヒューリーズ]    [タイトーステーション南大沢店@東京都@関東] Score: 1498982384 
261. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1496833834 
272. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1490618753 
275. K.K-OTL  [がんばリンカちゃん！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1489499567 
276. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1488546379 
286. SHIENA  [dis-human]    [タイトー多摩センター店@東京都@関東] Score: 1482326663 
299. 551  [がんばリンカちゃん！]    [セガ秋葉原１号館@東京都@関東] Score: 1476678181 
312. AKIBOSHI  [ニャスニャス！]    [タイトーステーション立川北口店@東京都@関東] Score: 1464857369 
313. G.srtkm  [I love "行くぜっ！怪盗少女"]    [タイトーステーション池袋西口店@東京都@関東] Score: 1464259869 
318. A9  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1460902386 
319. H.MINATO  [Negative God]    [タイトーステーション池袋西口店@東京都@関東] Score: 1460363627 
329. Takane01  [イノベーター]    [Ｈｅｙ@東京都@関東] Score: 1453435885 
331. T.naturu  [空想神]    [タイトーイン綾瀬@東京都@関東] Score: 1451553447 
335. Wing  [GROOVER]    [新宿プレイランドカーニバル@東京都@関東] Score: 1447012499 
336. Yahiga  [練習中]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1446882898 
337. 504939  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1446317204 
353. 03312345  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1433942668 
356. kana  [鹿児島勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1431296989 
357. IZMISTER  [MASTER CLAW]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1430760333 
359. The+GoD.  [ステルスゴッド]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1430066197 
365. LMTAK  [グルーヴ五万段]    [新宿プレイランドカーニバル@東京都@関東] Score: 1427779773 
368. EJ@765  [S級上杉謙信]    [セガワールドアルカス@東京都@関東] Score: 1425775094 
391. Skeleton  [岐阜勢]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1408426368 
393. GrizAil*  [え？あぁ、神。]    [プレイロットジョイ@東京都@関東] Score: 1407261219 
395. 708  [宮城勢]    [タイトーステーション秋葉原店@東京都@関東] Score: 1405020131 
401. TOARU  [I love GUMI]    [タイトーイン綾瀬@東京都@関東] Score: 1403406451 
402. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1399992660 
404. komachi  [バーカバーカ！]    [セガ秋葉原１号館@東京都@関東] Score: 1397365840 
407. Lunar.  [九尾]    [ラウンドワン町田店@東京都@関東] Score: 1395354934 
413. KARED  [完全なる墨染の神]    [セガワールドアルカス@東京都@関東] Score: 1387845783 
421. ODIN:X  [dis-human]    [プレイロットジョイ@東京都@関東] Score: 1378921561 
425. VteA3mr@  [絶望]    [タイトーステーション池袋西口店@東京都@関東] Score: 1375743425 
436. Arubada  [インフィニティ先生]    [セガ赤羽@東京都@関東] Score: 1365490700 
439. TYA-HAN  [Ｓ＋級チャーハン]    [アムネット五反田店@東京都@関東] Score: 1362882705 
453. masaki  [GHOST]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1348169154 
454. RI9.  [駆け出し]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1348137353 
