1. newxh  [dis-human]    [タイトーステーション所沢店@埼玉県@関東] Score: 1591000000 
16. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1589704023 
41. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1586017364 
84. NEO+ex  [風神]    [ラウンドワン草加店@埼玉県@関東] Score: 1576340333 
98. P-KANA*  [期待の新人]    [ラウンドワン草加店@埼玉県@関東] Score: 1573442673 
139. cohalz  [島根勢]    [埼玉レジャーランド川越店@埼玉県@関東] Score: 1559839049 
161. SEFY  [ウロボロス]    [キャロム坂戸店@埼玉県@関東] Score: 1551714292 
175. KUU  [Ｓ＋級天ぷら]    [ウェアハウス越谷店@埼玉県@関東] Score: 1545094116 
228. mea*  [大☆王☆様]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1518396581 
238. Hinata  [Plot Type 3 God]    [テクモピア南越谷店@埼玉県@関東] Score: 1514495181 
260. USA33  [HDM KING]    [ｎａｍｃｏレイクタウン店@埼玉県@関東] Score: 1498558732 
293. saconimo  [Get down everybody!]    [プラサカプコン羽生店@埼玉県@関東] Score: 1479275305 
341. KUJIGEN  [LOCK]    [ゲームマグマックス川越@埼玉県@関東] Score: 1443716807 
349. QuaLINKA  [福島勢]    [ウェアハウス三橋店@埼玉県@関東] Score: 1437236406 
408. issy  [Chaos God]    [タイトーステーション所沢店@埼玉県@関東] Score: 1395293089 
409. Zing  [Nightmare]    [ヒューストン西川口店@埼玉県@関東] Score: 1394591142 
412. Indigo  [迫り来る未来の選択]    [タイトーステーション大宮店@埼玉県@関東] Score: 1388358091 
458. LOCK  [アブストラクト・マスター]    [ウェアハウス三橋店@埼玉県@関東] Score: 1348091128 
462. Parallel  [全国行脚中]    [ゲームマグマックス川越@埼玉県@関東] Score: 1341828411 
471. KUROTTIM  [中級者]    [ラウンドワン上尾店@埼玉県@関東] Score: 1337917804 
478. kanna  [第三回天下一音ゲ祭 ファイナリスト]    [タイトーステーション和光店@埼玉県@関東] Score: 1328324974 
481. MMM  [タイトーLOVE]    [タイトーステーション和光店@埼玉県@関東] Score: 1327646699 
566. ZUNPAPA  [初代ANTHEM]    [タイトーステーション所沢店@埼玉県@関東] Score: 1264843577 
582. GESUKO  [あのね…実はわたし、女神なんだ…?]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1252933144 
632. Silly3  [がんばユメちゃん]    [セガ所沢@埼玉県@関東] Score: 1212669621 
642. WIND  [グリフォン]    [ゲームシティプラス川越店@埼玉県@関東] Score: 1209312952 
643. trip  [東京勢]    [セガ所沢@埼玉県@関東] Score: 1209135383 
692. KAGE  [I love "LINK LINK FEVER!!!"]    [キャロム大宮店@埼玉県@関東] Score: 1183594987 
762. YUKINAGI  [無彩色神]    [ラウンドワンさいたま・上里店@埼玉県@関東] Score: 1151845587 
786. URYU  [全都道府県グルメ完食]    [タイトーステーション和光店@埼玉県@関東] Score: 1141994693 
802. DC  [ペガサス]    [タイトーステーション和光店@埼玉県@関東] Score: 1134328756 
819. TAKE  [magnet god]    [モナコ川越店@埼玉県@関東] Score: 1125173031 
890. Tutinoko  [ほっぺたぷにぷに]    [タイトーステーション所沢店@埼玉県@関東] Score: 1082813763 
921. (ELSIE)  [チキンライス]    [ラウンドワン大宮店@埼玉県@関東] Score: 1068376741 
972. ANPANMAN  [Ｓ＋級パン]    [セガワールド入間@埼玉県@関東] Score: 1037856507 
982. TOMOYA  [サドマミゴッド]    [ラウンドワン入間店@埼玉県@関東] Score: 1029855912 
987. *KOYUKI*  [駆け出し]    [タイトーステーション和光店@埼玉県@関東] Score: 1028296024 
996. Goo.  [中級者]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1024797945 
