5. Lasty  [SPARKLING GOD]    [タイトーステーション弥富店@愛知県@東海] Score: 1590969248 
11. B  [I love "Heavenly Particle"]    [安城メトロポリス@愛知県@東海] Score: 1590288399 
33. HAK0BUNE  [グルーヴ・リボルバー・ゴッド]    [タイトーステーション弥富店@愛知県@東海] Score: 1586851850 
46. Hirojixi  [夢現神]    [タイトーステーション弥富店@愛知県@東海] Score: 1585352411 
68. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1580521673 
83. CATENARY  [I love "2112410403927243233368"]    [コムテックタワー@愛知県@東海] Score: 1576427702 
93. HIKARU  [うー！がぉー！]    [コムテックタワー@愛知県@東海] Score: 1574755999 
104. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1572335566 
147. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1556328375 
160. NOGUnSO  [Ｓ級幼稚園児]    [ユーファクトリー安城店@愛知県@東海] Score: 1552107764 
168. daisuki  [初代SSS CLASS]    [タイトーステーション大須店@愛知県@東海] Score: 1547635696 
170. karinPTV  [I love "Lost Colors"]    [コムテックスクウェア@愛知県@東海] Score: 1546864066 
192. SPIRYTUS  [2003 GOD]    [タイトーステーション大須店@愛知県@東海] Score: 1535353935 
197. HiBi  [あの日の神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1532222030 
208. AKIO  [I love "Invader GIRL!"]    [アミューズファクトリー@愛知県@東海] Score: 1528044308 
220. MiKUya  [シンセサイザ ゴッド]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1520854971 
233. mrskon-G  [旅人]    [アミューズファクトリー@愛知県@東海] Score: 1515848789 
243. #KEN*  [URANUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1510737599 
244. NANAMI!?  [Bless You Master]    [タイトーステーション弥富店@愛知県@東海] Score: 1510289464 
265. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1496310936 
283. Slug  [STORM CAUSER]    [ステーション２０１@愛知県@東海] Score: 1484687945 
288. NAOTOMO  [仮初の満足]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1481908485 
309. HERM+G  [I love IOSYS]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1468961215 
334. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1449249317 
361. HOSOus  [イフリート]    [コムテックプラザ赤池@愛知県@東海] Score: 1428826109 
367. St.Rhea  [I LOVE ZUNTATA]    [ゲームランド（岡崎）@愛知県@東海] Score: 1427291479 
371. pcfx  [I LOVE ZUNTATA]    [コムテックスクウェア@愛知県@東海] Score: 1424998149 
372. AMANE02  [RinLenGod]    [タイトーステーション大須店@愛知県@東海] Score: 1424934593 
