1. newxh  [Lethal Dose King]    [タイトーステーション所沢店@埼玉県@関東] Score: 1597000000 
2. K.I.  [ouroboros god]    [スターダスト@岡山県@中国] Score: 1597000000 
3. marirui  [ouroboros god]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1597000000 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1596988688 
5. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1596969248 
6. zoroakun  [ケルベロス]    [ＦＥＳＴＡ古河店@茨城県@関東] Score: 1596921938 
7. HIHIME  [小さな百鬼夜行]    [AMERICAN POOL@Hong Kong@海外] Score: 1596881060 
8. WARNING  [WARNING!!]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1596846457 
9. Megumin  [大☆天☆才]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1596687408 
10. pillow  [草の根妖怪ネットワーク]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1596444003 
11. ERION+++  [Not get god]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1596420711 
12. Shisa  [Lethal Dose God]    [タイトーステーション池袋西口店@東京都@関東] Score: 1596390677 
13. Hirojixi  [夢現神]    [セガ金山@愛知県@東海] Score: 1596367326 
14. B  [Lethal Dose God]    [セガ安城@愛知県@東海] Score: 1596293544 
15. Hazuneko  [Bright God]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1596225300 
16. CROW  [下克上神]    [タイトーイン綾瀬@東京都@関東] Score: 1596012195 
17. TyonTa  [Lethal Dose Master]    [タイトーイン綾瀬@東京都@関東] Score: 1595943331 
18. LIMIO  [鵺]    [ラウンドワン盛岡店@岩手県@東北] Score: 1595806187 
19. L.pis*YY  [QLWAGOD]    [ＴＡＣ郡山@福島県@東北] Score: 1595805909 
20. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1595705855 
21. mikan?  [I love "W.W.D"]    [ラウンドワン青森店@青森県@東北] Score: 1595582230 
22. LUCA  [雷神]    [タイトーステーション町田店@東京都@関東] Score: 1595361180 
23. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1595024198 
24. Y*xx-!?  [女々しい神]    [ゲームディーノ彦根店@滋賀県@近畿] Score: 1595016857 
25. SKYMAN  [Lethal Dose God]    [スターダスト@岡山県@中国] Score: 1595006883 
26. 2K-DeW  [God noir forever.]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1594934105 
27. LEMON-E  [気を使う程度の女神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1594711170 
28. Hei*  [God of Moon]    [AMERICAN POOL@Hong Kong@海外] Score: 1594481721 
29. YAMA-!?  [God of Warrior]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1594410671 
30. 9M@NO3  [Crazy ∞ Queen]    [タイトーステーション所沢店@埼玉県@関東] Score: 1593985111 
31. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1593852209 
32. MiroT  [Lethal Dose God]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1593657120 
33. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1593568225 
34. QWERTZ  [多芸多才]    [ビーカム松森店@宮城県@東北] Score: 1593363665 
35. Mavis.V  [Good Night, Bad God.]    [大田原スポーツランド@栃木県@関東] Score: 1593302523 
36. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1593068728 
37. FUJIN  [北海道勢]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1593000000 
38. HAK0BUNE  [変なTシャツヤロー]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1592977277 
39. YUKIMARU  [神・陸拾壱段]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1592965945 
40. GUREKO+  [Lethal Dose God]    [ロックンボウル@秋田県@東北] Score: 1592894131 
41. CloudyB.  [真・一溝段]    [ATTACK GAME CENTER@Korea@海外] Score: 1592880320 
42. Inver  [店内S CLASS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1592786088 
43. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1592720332 
44. Kissshot  [絶対思想啓蒙局神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1592441183 
45. tsnk  [LINK PERFECT]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1592375936 
46. 44327  [MikuRinGod]    [ラウンドワン福山店@広島県@中国] Score: 1592357437 
47. Shikyo  [GOD OF REVIVAL]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1592268028 
48. 9_tan*40  [九龍神]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1592110442 
49. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1592074926 
50. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1591856205 
51. KenWong  [AXION KING]    [AMERICAN POOL@Hong Kong@海外] Score: 1591779081 
52. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1591768988 
53. SMP  [竹林のルーガルー]    [ナムコランド広島店@広島県@中国] Score: 1591652579 
54. SCOTT  [God of Puppets]    [ピンクパンサーつくば店@茨城県@関東] Score: 1591382240 
55. /*nYa  [Ｓ級少尉]    [メジャーゲーム館@新潟県@信越] Score: 1591378384 
56. TAK1  [悪夢再び]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1590708155 
57. SEA+EX  [2112410403 22032304]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1590004057 
58. MHRJ  [グルーヴ・リボルバー・ゴッド]    [ロックンボウル@秋田県@東北] Score: 1589764467 
59. Albireo  [LINK PERFECT]    [プレイロットジョイ@東京都@関東] Score: 1589636236 
60. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1589635741 
61. yetogen  [God a pain cover?]    [プレイランドキング円町店@京都府@近畿] Score: 1589331817 
62. PoCkRo.B  [ワーウルフ]    [タイトーステーション立川北口店@東京都@関東] Score: 1589315656 
63. antisan  [四季の最高裁判長]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1589174236 
64. SofLan  [I love Ray series]    [タイトーステーション浅草店@東京都@関東] Score: 1589096412 
65. BRO  [七色の人形使い]    [青森メトロポリス@青森県@東北] Score: 1588941851 
66. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1588858886 
67. *_MIKU_*  [MikuMikuGod]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1588853527 
68. NEO+ex  [風神]    [ハイテクランド　キューデン@東京都@関東] Score: 1588497747 
69. LEE  [草の根妖怪ネットワーク]    [キャッツアイ恵庭店@北海道@北海道] Score: 1587567031 
70. ChanM@ru  [Rebellion God]    [タイトーステーション金沢店@石川県@北陸] Score: 1587110026 
71. HIKARU  [ドリームパーティーゴッド]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1586954121 
72. KEYJILL*  [輝く針のリリパット]    [セガ霞ヶ浦@茨城県@関東] Score: 1586713139 
73. M2*NI53  [I AM EDM]    [タイトーステーション弥富店@愛知県@東海] Score: 1586497736 
74. Koton@ri  [Wacky god]    [ラウンドワン広島店@広島県@中国] Score: 1585728033 
75. LEOPARD6  [RAY CRISIS KING]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1585419523 
76. DogDept.  [I love "明星ロケット"]    [ラウンドワン東淀川店@大阪府@近畿] Score: 1585269418 
77. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1585121348 
78. Sasuke  [エストポリス神]    [ビッグバン釧路@北海道@北海道] Score: 1584860546 
