7. ERION+++  [I love "I"]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1602411207 
24. CROW  [下克上神]    [セガ秋葉原１号館@東京都@関東] Score: 1597996680 
33. Shisa  [Lethal Dose God]    [タイトーステーション池袋西口店@東京都@関東] Score: 1596390677 
35. TyonTa  [Lethal Dose Master]    [タイトーイン綾瀬@東京都@関東] Score: 1595943331 
37. MiroT  [Lethal Dose God]    [ラウンドワン池袋店@東京都@関東] Score: 1595390101 
40. 9M@NO3  [恋愛王]    [プレイロットジョイ@東京都@関東] Score: 1594973327 
45. NEO+ex  [風神]    [ハイテクランド　キューデン@東京都@関東] Score: 1594373638 
72. PoCkRo.B  [ワーウルフ]    [タイトーステーション立川北口店@東京都@関東] Score: 1589315656 
73. SofLan  [I love Ray series]    [タイトーステーション浅草店@東京都@関東] Score: 1589096412 
104. GIL  [二代目超シューティング神]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1579716471 
107. onsenti  [dis-human]    [タイトーステーション池袋西口店@東京都@関東] Score: 1579050693 
108. Ryukl*  [グルーヴ一級]    [セガ池袋ギーゴ@東京都@関東] Score: 1578917623 
115. NOLF68  [永遠の中二病]    [タイトーステーション秋葉原店@東京都@関東] Score: 1576419211 
119. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1574436393 
129. Nera  [弱虫神]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1570856698 
138. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1566152517 
141. RETurn  [裏切り大王]    [Ｈｅｙ@東京都@関東] Score: 1565616711 
142. MIKO  [境界の妖怪]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1565504435 
160. Vedr  [練習中]    [新宿プレイランドカーニバル@東京都@関東] Score: 1560186514 
161. Eagle.  [Ever…]    [タイトーイン綾瀬@東京都@関東] Score: 1559580432 
166. Komimi  [ずんどこずんどこずんどこずんどこ]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1555026489 
180. FSTK  [Chaos God]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1550385566 
182. K-FISHER  [GROOVER]    [ラウンドワン池袋店@東京都@関東] Score: 1550122604 
187. RAM4  [ダークコンヒューマン]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1546893371 
197. NANOHA77  [沖縄勢]    [セガ秋葉原１号館@東京都@関東] Score: 1540558877 
199. remina  [LINK PERFECT]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1539992616 
200. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1539819732 
202. TAPE  [踊ってみたら七変化！]    [セガ秋葉原１号館@東京都@関東] Score: 1539160671 
204. ARuFa  [クロビ勢]    [ｎａｍｃｏ王子サンスクエア店@東京都@関東] Score: 1536952655 
211. 27  [すっごーい！]    [タイトーステーション町田店@東京都@関東] Score: 1532964850 
217. ZE4MI  [dis-human]    [タイトーイン綾瀬@東京都@関東] Score: 1530938125 
219. FFF  [GROOVER]    [タイトーステーション立川北口店@東京都@関東] Score: 1530405521 
220. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1530082801 
228. GARYU!!!  [初代SSS CLASS]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1526088236 
231. MAKURO  [輝く針のリリパット]    [タイトーステーション新宿東口店@東京都@関東] Score: 1524075305 
233. SGK4444  [S級前田慶次]    [アムネット五反田店@東京都@関東] Score: 1523703279 
234. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1523535524 
255. Kn3.inc  [でんぱ神]    [タイトーイン綾瀬@東京都@関東] Score: 1511315389 
264. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1505595190 
266. Takato.  [ピュアヒューリーズ]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1504972387 
267. JACK  [夢に向かって飛び立て！]    [東京レジャーランド秋葉原２号店@東京都@関東] Score: 1504896517 
271. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1503834215 
273. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1499730159 
285. SHIENA  [世界の傍観者]    [タイトー多摩センター店@東京都@関東] Score: 1491518952 
292. 551  [がんばリンカちゃん！]    [セガ池袋ギーゴ@東京都@関東] Score: 1487639697 
296. K.K-OTL  [がんばリンカちゃん！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1486502625 
301. MOYAex3  [Sakura God]    [タイトーステーション池袋西口店@東京都@関東] Score: 1483820795 
314. HKB7R  [第三回天下一音ゲ祭 ファイナリスト]    [タイトーステーション秋葉原店@東京都@関東] Score: 1472573098 
323. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1465869828 
329. AKIBOSHI  [ニャスニャス！]    [タイトーステーション立川北口店@東京都@関東] Score: 1461882971 
330. H.MINATO  [夢想神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1461283081 
331. Yahiga  [練習中]    [タイトーイン綾瀬@東京都@関東] Score: 1461026468 
333. A9  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1459865096 
334. 504939  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1459360744 
339. T.naturu  [空想神]    [セガワールド船堀@東京都@関東] Score: 1454671141 
345. The+GoD.  [ステルスゴッド]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1450768546 
360. LMTAK  [神・肆級]    [タイトー　オリナス錦糸町店@東京都@関東] Score: 1434826978 
363. 03312345  [GROOVER]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1432943621 
369. Giraty  [「幼女の世界」]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1430419503 
376. kana  [鹿児島勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1428315235 
380. EJ@765  [S級上杉謙信]    [セガワールドアルカス@東京都@関東] Score: 1422886183 
387. SIRA_P  [歌って踊れるゲーマーアイドル]    [タイトーステーション町田店@東京都@関東] Score: 1416872600 
395. issy  [Chaos God]    [タイトーステーション立川北口店@東京都@関東] Score: 1411903343 
397. KARED  [完全なる墨染の神]    [セガワールドアルカス@東京都@関東] Score: 1411452446 
398. TOARU  [I love GUMI]    [タイトーステーション新宿東口店@東京都@関東] Score: 1411440670 
401. Skeleton  [岐阜勢]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1409422707 
404. komachi  [うわぁ、夢みたい！]    [セガ秋葉原１号館@東京都@関東] Score: 1407563730 
407. GrizAil*  [え？あぁ、神。]    [プラサカプコン吉祥寺店@東京都@関東] Score: 1406384239 
409. 708  [宮城勢]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1405002453 
423. Lunar.  [九尾]    [タイトーステーション町田店@東京都@関東] Score: 1392354934 
426. ODIN:X  [青龍]    [プレイロットジョイ@東京都@関東] Score: 1384862713 
428. VteA3mr@  [絶望]    [ｎａｍｃｏ王子サンスクエア店@東京都@関東] Score: 1384617747 
429. MBK-GIL  [大御所]    [セガワールドアルカス@東京都@関東] Score: 1382238900 
443. TYA-HAN  [Ｓ＋級チャーハン]    [フェドラＢＩＧＦＵＮ平和島@東京都@関東] Score: 1367676188 
445. masaki  [GHOST]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1365182364 
464. RI9.  [駆け出し]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1350135678 
468. SiroKuro  [お困りの忘れ物]    [キャロム東大和店@東京都@関東] Score: 1345591930 
473. Daizu  [魔奴化]    [ＡＭフィールドアクス@東京都@関東] Score: 1341114002 
494. KOU  [I love t+pazolite]    [タイトーステーション上野アメ横@東京都@関東] Score: 1323611984 
504. SSKM  [イフリート]    [セガ池袋ギーゴ@東京都@関東] Score: 1317166506 
