44. Shikyo  [独りんぼ神]    [キャッツアイ麻生店@北海道@北海道] Score: 1604275202 
50. LEE  [山坂と湖の権化]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1603553995 
103. Sasuke  [ジベタシン]    [タイトーイオンモール釧路昭和店@北海道@北海道] Score: 1589942544 
107. chris  [Detonator God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1588309866 
112. Rinne!?  [竹林のルーガルー]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1587343237 
261. Tokky  [G.O.D]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1515832057 
266. SCP-106  [たのしー！]    [キャッツアイ篠路店@北海道@北海道] Score: 1512696632 
283. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1501850384 
312. CHIK.WAV  [初代SS CLASS]    [タイトーイオンモール札幌平岡店@北海道@北海道] Score: 1482111796 
314. BIS(9)  [すっごーい！]    [ラウンドワン旭川店@北海道@北海道] Score: 1481687751 
335. Ayahi  [I love "Five to Seven"]    [アドアーズ狸小路@北海道@北海道] Score: 1465747609 
341. COACH  [LINK FESTIVAL]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1460666117 
349. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1451923303 
374. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1434606300 
380. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1430676548 
441. Toma9/  [無彩色神]    [キャッツアイ麻生店@北海道@北海道] Score: 1380620525 
458. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1366646240 
524. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1310527967 
538. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1297326460 
592. AYATAKA  [EARTH]    [キャッツアイ手稲店@北海道@北海道] Score: 1255904686 
601. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1250801709 
644. tzw10430  [電子音で伝えるよゴッド]    [キャッツアイ新札幌店@北海道@北海道] Score: 1221142864 
756. NAZO-J.I  [GREAT THING]    [ソユーゲームフィールド発寒店@北海道@北海道] Score: 1167662538 
780. SHINDEN  [God more raves?]    [プラボ札幌西町店@北海道@北海道] Score: 1154194512 
795. KANONE  [祀られる風の人間]    [ギャラクシーゲート函館@北海道@北海道] Score: 1146603785 
823. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1132405762 
828. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1130621880 
829. BOLUX  [ブローン自走要塞]    [キャッツアイ手稲店@北海道@北海道] Score: 1130300278 
865. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1109933635 
886. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1099427676 
889. Oriens  [God's Blood]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1097592428 
918. Shivaty  [railgun god]    [ビックバン函館@北海道@北海道] Score: 1078593317 
920. MoyaC.  [あのね…実はわたし、女神なんだ…?]    [ラウンドワン函館店@北海道@北海道] Score: 1076445346 
926. Jibri-l*  [空想神]    [キャッツアイ麻生店@北海道@北海道] Score: 1072510891 
932. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1069194755 
969. Bump  [I love "天体観測"]    [キャッツアイ篠路店@北海道@北海道] Score: 1048376740 
983. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1040450699 
994. A-CID  [スターミュージシャン]    [プラボ小樽店@北海道@北海道] Score: 1033433507 
