1. marirui  [ouroboros god]    [ポート２４御津@愛知県@東海] Score: 1612000000 
12. Hirojixi  [夢現神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1611428024 
15. B  [HG魔改造ポリビニル神]    [セガ安城@愛知県@東海] Score: 1611316468 
38. HAK0BUNE  [ファイナルスパーク神]    [コムテックタワー@愛知県@東海] Score: 1608442897 
52. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1606971253 
57. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1606431111 
59. CATENARY  [I love "2112410403927243233368"]    [セガ金山@愛知県@東海] Score: 1606377592 
78. M2*NI53  [I love "Lost Colors"]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1601276328 
106. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1593634110 
145. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1576188458 
160. NOGUnSO  [Ｓ級幼稚園児]    [Ｌａ・Ｆｉｅｓｔａ@愛知県@東海] Score: 1572540728 
171. HiBi  [I love "The Future"]    [セガ岡崎@愛知県@東海] Score: 1567602427 
178. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1563444431 
198. karinPTV  [I love "Lost Colors"]    [セガイオンタウン名西@愛知県@東海] Score: 1552883269 
229. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1536636288 
231. mrskon-G  [旅人]    [セガ金山@愛知県@東海] Score: 1534893517 
234. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1534107631 
236. AKIO  [I love "Invader GIRL!"]    [ユーズランド東浦店@愛知県@東海] Score: 1532700655 
252. tsuccho  [リズム感の神]    [中川メトロポリス@愛知県@東海] Score: 1524012166 
257. MiKUya  [シンセサイザ ゴッド]    [コムテックタワー@愛知県@東海] Score: 1521947539 
261. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1520771805 
276. NAOTOMO  [仮初の満足]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1510656321 
280. NANAMI!?  [つけま神]    [コムテックスクウェア@愛知県@東海] Score: 1508317898 
307. HERM+G  [I love IOSYS]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1489332538 
308. Slug  [Gaiden GOD]    [ゲームファンタジアン岡崎店@愛知県@東海] Score: 1489324068 
363. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1446285591 
386. pcfx  [ノルニル先生]    [コムテックタワー@愛知県@東海] Score: 1428636794 
387. St.Rhea  [I LOVE ZUNTATA]    [アミューズファクトリー@愛知県@東海] Score: 1428129876 
408. GGO  [次の曲が始まるのです女神]    [ユーズランド東浦店@愛知県@東海] Score: 1412923325 
421. TONEMA  [パンプキン神]    [安城メトロポリス@愛知県@東海] Score: 1404434528 
441. Alice  [死ぬがよい。]    [Ｍ’Ｓ　ＰＡＲＫ刈谷店@愛知県@東海] Score: 1387613815 
460. PRESTIGE  [VENUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1370559434 
508. R.EIMU  [God noir forever.]    [タイトーステーション弥富店@愛知県@東海] Score: 1323084382 
535. Y0S1TUN3  [全都道府県完全制覇]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1302945532 
547. CHOMOKO  [お断リンカちゃん]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1295584794 
554. Sasanqua  [初代SSS CLASS]    [タイトーステーション大須店@愛知県@東海] Score: 1289402247 
560. 0_0  [がっかリンカちゃん]    [セガイオンタウン名西@愛知県@東海] Score: 1283618310 
