1. marirui  [ouroboros god]    [コムテックスクウェア@愛知県@東海] Score: 1612000000 
12. Hirojixi  [夢現神]    [タイトーステーション弥富店@愛知県@東海] Score: 1611433930 
15. B  [Fly God]    [セガ安城@愛知県@東海] Score: 1611324468 
39. HAK0BUNE  [死神]    [コムテックタワー@愛知県@東海] Score: 1608525378 
40. SNK  [全都道府県完全制覇]    [アーバンスクエア大須@愛知県@東海] Score: 1608430650 
54. Lasty  [I love "ようこそジャパリパークへ"]    [セガ安城@愛知県@東海] Score: 1606971253 
60. CATENARY  [I love "2112410403927243233368"]    [セガ金山@愛知県@東海] Score: 1606389613 
80. M2*NI53  [I love "Lost Colors"]    [キングジョイ@愛知県@東海] Score: 1601276559 
107. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1593634110 
148. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1576259785 
160. NOGUnSO  [Ｓ級幼稚園児]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1572560328 
172. HiBi  [NEO SHIBUYA GOD]    [セガ岡崎@愛知県@東海] Score: 1567808630 
181. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1563444431 
200. karinPTV  [I love "Lost Colors"]    [セガイオンタウン名西@愛知県@東海] Score: 1552894176 
227. mrskon-G  [旅人]    [タイトーステーション大須店@愛知県@東海] Score: 1538020931 
232. AKIO  [I love "Invader GIRL!"]    [ユーズランド東浦店@愛知県@東海] Score: 1536522250 
236. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1534107631 
254. tsuccho  [リズム感の神]    [中川メトロポリス@愛知県@東海] Score: 1524012166 
257. MiKUya  [シンセサイザ ゴッド]    [セガ安城@愛知県@東海] Score: 1522936880 
261. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1520938951 
275. NANAMI!?  [紅蓮の弓矢 King]    [キングジョイ@愛知県@東海] Score: 1512242274 
277. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1510674276 
308. HERM+G  [I love IOSYS]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1489540580 
309. Slug  [Gaiden GOD]    [ゲームファンタジアン岡崎店@愛知県@東海] Score: 1489324068 
364. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1446285591 
365. pata_sir  [天下統一]    [キングジョイ@愛知県@東海] Score: 1445429822 
382. pcfx  [技名を叫んでから殴る先生]    [セガワールド上小田井@愛知県@東海] Score: 1435725267 
392. St.Rhea  [I LOVE ZUNTATA]    [アミューズファクトリー@愛知県@東海] Score: 1428129876 
412. GGO  [次の曲が始まるのです女神]    [ユーズランド東浦店@愛知県@東海] Score: 1412923325 
415. TONEMA  [パンプキン神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1411392821 
441. Alice  [死ぬがよい。]    [Ｍ’Ｓ　ＰＡＲＫ刈谷店@愛知県@東海] Score: 1388612572 
460. PRESTIGE  [VENUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1371549486 
510. R.EIMU  [God noir forever.]    [コムテックタワー@愛知県@東海] Score: 1324082618 
536. Y0S1TUN3  [二代目超シューティング神]    [タイトーステーション大須店@愛知県@東海] Score: 1302980465 
541. Sasanqua  [初代SSS CLASS]    [セガイオンタウン名西@愛知県@東海] Score: 1300343178 
549. CHOMOKO  [お断リンカちゃん]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1295584794 
562. 0_0  [がっかリンカちゃん]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1283635993 
576. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1271863254 
615. NETABARE  [I am King]    [コムテックタワー@愛知県@東海] Score: 1244142617 
