122. tope-kon  [NEPTUNE]    [ゲームランド盛岡店@岩手県@東北] Score: 1589839047 
294. AIR4545K  [I love "OMAKENO Stroke"]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1500598196 
326. NAO  [メリークリスマス！]    [さんさんらんど大船渡@岩手県@東北] Score: 1480869988 
407. Ject  [爆符「ペタフレア」]    [ラウンドワン盛岡店@岩手県@東北] Score: 1417480471 
466. Pepper  [WARNING!!]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1369613438 
471. Gram  [遠征]    [サン　シャイン@岩手県@東北] Score: 1364728472 
482. arx-8  [LOVE KNOWLEDGE]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1348689195 
504. SU-3.  [VEGAS GOD]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1331028215 
576. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1274932330 
701. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1197567558 
834. TenCha  [わんこそば]    [ゲームランド盛岡店@岩手県@東北] Score: 1136550635 
970. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1055795722 
