27. Shikyo  [恋愛神]    [キャッツアイ麻生店@北海道@北海道] Score: 1620389260 
63. Sasuke  [救世主]    [ビッグバン釧路@北海道@北海道] Score: 1612694718 
64. LEE  [世界の傍観者]    [キャッツアイ恵庭店@北海道@北海道] Score: 1612639102 
77. chris  [Detonator God]    [キャッツアイ手稲店@北海道@北海道] Score: 1609925709 
125. Rinne!?  [メリークルシミマス！]    [プラボ札幌西町店@北海道@北海道] Score: 1593040400 
258. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1526674452 
283. SCP-106  [たのしー！]    [キャッツアイ篠路店@北海道@北海道] Score: 1513603391 
290. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1507773518 
306. CHIK.WAV  [無理]    [タイトーステーション千歳店@北海道@北海道] Score: 1495354664 
308. BIS(9)  [Groove current]    [キャッツアイ新札幌店@北海道@北海道] Score: 1494176887 
343. COACH  [S+級ゆきだるま]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1468654823 
345. +HAKASE+  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1466606712 
346. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1463654982 
378. TKK  [しんどい]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1442690546 
389. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1434572736 
431. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1401432088 
472. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1363646240 
530. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1310522582 
549. AYATAKA  [パンプキン神]    [キャッツアイ手稲店@北海道@北海道] Score: 1296594725 
553. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1294350933 
613. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1249796872 
626. tzw10430  [しんどい]    [キャッツアイ新札幌店@北海道@北海道] Score: 1240595644 
726. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1187962434 
771. SHINDEN  [God more raves?]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1168316201 
803. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1153654248 
824. BOLUX  [つらい]    [キャッツアイ手稲店@北海道@北海道] Score: 1139403367 
847. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1129405762 
852. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1127642989 
871. Oriens  [NOV, 2017 TOP RANKER]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1116087413 
882. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1106956025 
892. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1102697979 
900. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1098762644 
928. MoyaC.  [しんどい]    [ラウンドワン函館店@北海道@北海道] Score: 1081451531 
937. Jibri-l*  [働かずに食う神]    [キャッツアイ麻生店@北海道@北海道] Score: 1073351112 
949. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1066200811 
962. Bump  [天体観測大王]    [キャッツアイ麻生店@北海道@北海道] Score: 1059956022 
