53. SCOTT  [DullaGoddess]    [ピンクパンサーつくば店@茨城県@関東] Score: 1619548889 
56. KEYJILL*  [I love "東方外魔伝"]    [セガ霞ヶ浦@茨城県@関東] Score: 1618456524 
94. Shin  [OVER THE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1610403463 
138. PICO  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1591371410 
229. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1545159516 
246. JACK.O  [しんどい]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1537825308 
287. EB1FLY  [メリークルシミマス！]    [ジャムジャムひたちなか本店@茨城県@関東] Score: 1511986491 
298. Twilight  [四天王奥義「三歩必殺」]    [ジャムジャムつくば店@茨城県@関東] Score: 1503405949 
318. KANI  [千の神]    [セガ水戸@茨城県@関東] Score: 1494525902 
337. UFORANGE  [I love "オレンジ"]    [ピンクパンサー日立店@茨城県@関東] Score: 1477909077 
369. LUY17/  [Keep the Fujin]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1451492064 
400. TOMONOBU  [石川勢]    [ゲームパドック＋１古河店@茨城県@関東] Score: 1425190214 
408. MALEAIA  [死ぬがよい。]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1415799307 
409. Ralickma  [クラーケン]    [ジャムジャムつくば店@茨城県@関東] Score: 1415684428 
451. ScarRed  [永遠に紅い幼き月]    [ピンクパンサー日立店@茨城県@関東] Score: 1385397288 
676. mdr  [I love Ray series]    [ピンクパンサー日立店@茨城県@関東] Score: 1215607239 
682. IKU*LEA  [第三回天下一音ゲ祭 ファイナリスト]    [セガワールド龍ヶ崎@茨城県@関東] Score: 1212605954 
694. clear  [LINK LINK GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1204480147 
763. pt*fl153  [ダウザーの小さな大将]    [ジャムジャムつくば店@茨城県@関東] Score: 1172276695 
812. LEGACY  [無理]    [ジョイプラザ龍ヶ崎店@茨城県@関東] Score: 1151283633 
821. Raji  [CERAMIC GOD]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1144828050 
888. zinchan  [天馬と奏でる音楽家]    [ユーズランド水戸内原店@茨城県@関東] Score: 1106836504 
901. Alice?  [流星神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1099978270 
917. Snail  [キャッチ・ザ・ハート]    [ピンクパンサー那珂店@茨城県@関東] Score: 1091642067 
