124. tope-kon  [しんどい]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1600012516 
290. AIR4545K  [甘い甘い先生]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1512059554 
319. NAO  [S+級ゆきだるま]    [さんさんらんど大船渡@岩手県@東北] Score: 1494143077 
406. Ject  [小槌「お前が大きくなあれ」]    [みらい夢　津志田店@岩手県@東北] Score: 1417441706 
422. NULLPE  [練習中]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1410990653 
435. JOREN3rd  [Help me, KAMISAMAAAAAA!!]    [ラウンドワン盛岡店@岩手県@東北] Score: 1402800223 
480. Gram  [遠征]    [ラウンドワン盛岡店@岩手県@東北] Score: 1362751139 
487. arx-8  [グルメマニア]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1350894900 
512. SU-3.  [VEGAS GOD]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1328029794 
571. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1286582617 
714. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1195577616 
846. TenCha  [わんこそば]    [ゲームランド盛岡店@岩手県@東北] Score: 1133606327 
948. K.456  [気を使う程度の女王]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1070903869 
