9. Hirojixi  [夢現神]    [タイトーステーション弥富店@愛知県@東海] Score: 1631509044 
12. B  [あのね…実はわたし、女神なんだ…?]    [セガ安城@愛知県@東海] Score: 1631331520 
27. HAK0BUNE  [UFD GOD]    [セガ金山@愛知県@東海] Score: 1628613789 
49. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション弥富店@愛知県@東海] Score: 1624972271 
63. HIKARU  [GOD OF REVIVAL]    [キングジョイ@愛知県@東海] Score: 1621767169 
66. M2*NI53  [NEPTUNE]    [タイトーステーション大須店@愛知県@東海] Score: 1620932178 
76. CATENARY  [31337神]    [コムテックタワー@愛知県@東海] Score: 1619392139 
99. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1612414591 
104. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1610958463 
125. cohalz  [infinity]    [タイトーステーション弥富店@愛知県@東海] Score: 1600602713 
138. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1594207058 
150. NOGUnSO  [イロハニホヘト マスター]    [ユーファクトリー安城店@愛知県@東海] Score: 1591818835 
171. HiBi  [無理]    [セガ岡崎@愛知県@東海] Score: 1580968200 
206. daisuki  [初代SSS CLASS]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1564603772 
232. AKIO  [I love "Invader GIRL!"]    [ユーズランド東浦店@愛知県@東海] Score: 1549588184 
239. mrskon-G  [空想神]    [タイトーステーション大須店@愛知県@東海] Score: 1544904291 
242. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1543459342 
264. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1531121967 
265. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1530063612 
271. NAOTOMO  [仮初の満足]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1526660143 
277. MiKUya  [シンセサイザ ゴッド]    [安城メトロポリス@愛知県@東海] Score: 1522927986 
