1. marirui  [千の神]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1632000000 
6. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション弥富店@愛知県@東海] Score: 1631979285 
11. Hirojixi  [夢現神]    [タイトーステーション弥富店@愛知県@東海] Score: 1631628753 
16. B  [Bee God]    [セガ安城@愛知県@東海] Score: 1631364106 
36. HAK0BUNE  [Rebellion God]    [タイトーステーション弥富店@愛知県@東海] Score: 1628707503 
68. CATENARY  [31337神]    [コムテックタワー@愛知県@東海] Score: 1623284718 
74. SNK  [全都道府県完全制覇]    [ユーファクトリー安城店@愛知県@東海] Score: 1622217336 
81. M2*NI53  [NEPTUNE]    [タイトーステーション大須店@愛知県@東海] Score: 1620946776 
111. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1610973349 
128. cohalz  [GOD]    [タイトーステーション大須店@愛知県@東海] Score: 1601754303 
143. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1595165576 
156. NOGUnSO  [Ｓ級幼稚園児]    [タイトーステーション大須店@愛知県@東海] Score: 1591884223 
171. HiBi  [DREAM PARTY!]    [ポート２４幸田店@愛知県@東海] Score: 1584910007 
198. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1571732242 
234. AKIO  [I love "Invader GIRL!"]    [ユーズランド東浦店@愛知県@東海] Score: 1549588184 
235. mrskon-G  [空想神]    [セガワールド上小田井@愛知県@東海] Score: 1549578295 
250. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1543459342 
268. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1531121967 
269. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1531092552 
285. tsuccho  [リズム感の神]    [中川メトロポリス@愛知県@東海] Score: 1521014387 
298. HERM+G  [I love IOSYS]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1510486360 
331. Slug  [Gaiden GOD]    [ステーション２０１@愛知県@東海] Score: 1488194358 
381. pcfx  [技名を叫んでから殴る先生]    [セガワールド上小田井@愛知県@東海] Score: 1447547864 
390. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1443300543 
393. TONEMA  [無理]    [安城メトロポリス@愛知県@東海] Score: 1439695489 
406. St.Rhea  [I LOVE ZUNTATA]    [アミューズファクトリー@愛知県@東海] Score: 1425223854 
423. Skeleton  [つらい]    [タイトーステーション大須店@愛知県@東海] Score: 1413006152 
429. GGO  [次の曲が始まるのです女神]    [ユーズランド東浦店@愛知県@東海] Score: 1409939061 
464. VOUZZZZZ  [排除する！]    [ラウンドワン豊橋店@愛知県@東海] Score: 1382028015 
472. PRESTIGE  [グルコ種]    [アミューズメントクラブＮＯＶＡ@愛知県@東海] Score: 1374609768 
519. Roku  [ルーキー]    [コムテックタワー@愛知県@東海] Score: 1325733108 
521. R.EIMU  [God a pain cover?]    [タイトーステーション弥富店@愛知県@東海] Score: 1324064855 
537. Y0S1TUN3  [宇宙最速]    [タイトーステーション弥富店@愛知県@東海] Score: 1313803654 
545. Sasanqua  [無理]    [キングジョイ@愛知県@東海] Score: 1307693555 
566. 0_0  [がっかリンカちゃん]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1292663827 
574. NANARI  [I love "怪談「カーナビ」"]    [安城メトロポリス@愛知県@東海] Score: 1288046538 
624. NETABARE  [I am King]    [コムテックタワー@愛知県@東海] Score: 1251796442 
639. CHEN.  [労働反対先生]    [ゲームランド（岡崎）@愛知県@東海] Score: 1242561593 
658. YKL  [キャッチ・ザ・ハート]    [タイトーステーション弥富店@愛知県@東海] Score: 1229587905 
735. ethyl  [ポリリズムマスター]    [タイトーステーション大須店@愛知県@東海] Score: 1192506574 
783. KEY.MA  [隠れた逸材]    [ユーワールド豊明@愛知県@東海] Score: 1167703929 
804. rikuoh-M  [甘い甘い神様]    [タイトーステーション弥富店@愛知県@東海] Score: 1161026680 
812. NYUDORA  [無理]    [タイトーステーション弥富店@愛知県@東海] Score: 1156741568 
823. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1145743962 
862. Taku_N.  [GROOVER]    [ユーファクトリー安城店@愛知県@東海] Score: 1128959012 
865. orbit  [Lethal Dose God]    [ポート２４八事店@愛知県@東海] Score: 1127296734 
871. *SHEEP*  [十二宗家]    [ナムコランドＨＣ名古屋店@愛知県@東海] Score: 1121966141 
872. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1121516443 
875. Astral  [Z神]    [豊川メトロポリス@愛知県@東海] Score: 1119988037 
877. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1119452860 
887. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1111790982 
893. KEISUKE  [グルーヴ皆伝]    [ラウンドワン半田店@愛知県@東海] Score: 1107554136 
896. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1106110518 
900. SYAGE  [どんつくどんつくどんつくどんつく]    [ゲームランド（岡崎）@愛知県@東海] Score: 1104664132 
917. DJGEN115  [無理]    [半田メトロポリス@愛知県@東海] Score: 1096863657 
927. Gemma  [全国行脚中]    [タイトーステーション豊橋店@愛知県@東海] Score: 1089542514 
938. C*Crow:S  [Future Coaster God]    [タイトーステーション弥富店@愛知県@東海] Score: 1078976761 
959. Al  [現実逃避神]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1068347603 
960. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1068042290 
