137. tope-kon  [しんどい]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1601888832 
298. AIR4545K  [Negative Master]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1514573635 
317. NAO  [I love ATTACK THE MUSIC]    [さんさんらんど大船渡@岩手県@東北] Score: 1501361669 
415. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1418735200 
417. Ject  [京都勢]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1417474945 
443. JOREN3rd  [Help me, KAMISAMAAAAAA!!]    [ラウンドワン盛岡店@岩手県@東北] Score: 1402800223 
481. Gram  [I love ATTACK THE MUSIC]    [ラウンドワン盛岡店@岩手県@東北] Score: 1366410371 
485. arx-8  [がっかリンカちゃん]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1362873294 
521. SU-3.  [VEGAS GOD]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1328029794 
560. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1298216074 
726. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1195577616 
857. TenCha  [わんこそば]    [ゲームランド盛岡店@岩手県@東北] Score: 1133606327 
870. himiya  [ゴーゴー神]    [ゲームランド盛岡店@岩手県@東北] Score: 1123866513 
939. K.456  [気を使う程度の女王]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1082331349 
