3. NARSAN  [GAME MUSIC TRIANGLER]    [Ｈｅｙ@東京都@関東] Score: 1637954368 
4. zoroakun  [Sakura God]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1637933961 
10. LUCA  [GLITHCRE GOD]    [タイトーステーション町田店@東京都@関東] Score: 1636687300 
19. TyonTa  [S級服部半蔵]    [タイトーイン綾瀬@東京都@関東] Score: 1634928373 
21. KER?  [アドリブ係長]    [Ｈｅｙ@東京都@関東] Score: 1634850639 
29. pillow  [年中イキっていこう～]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1633585166 
33. YASUNA  [DADDY GOD]    [セガワールド府中@東京都@関東] Score: 1633080168 
36. PoCkRo.B  [うー！がぉー！]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1632489099 
46. CROW  [クリスマスパーティーマスター]    [タイトーイン綾瀬@東京都@関東] Score: 1631136473 
49. NEO+ex  [雷神]    [ハイテクランド　キューデン@東京都@関東] Score: 1630367234 
74. Komimi  [真・百垓段]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1625726115 
87. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1623101839 
89. Ryukl*  [God a pain cover?]    [ラウンドワン板橋店@東京都@関東] Score: 1622468815 
91. FUJIN  [AM貴族　すたどんたん女神]    [Ｈｅｙ@東京都@関東] Score: 1621770672 
114. BLAZE  [Blaze King]    [タイトーステーション池袋西口店@東京都@関東] Score: 1612736501 
117. Nera  [弱虫神]    [タイトーステーション立川北口店@東京都@関東] Score: 1610433790 
126. MIKO  [コネクト ゴッド]    [ラウンドワン武蔵村山店@東京都@関東] Score: 1607650543 
129. Albireo  [LINK PERFECT]    [タイトーステーション立川北口店@東京都@関東] Score: 1606996887 
135. Vedr  [つらい]    [タイトーステーション立川北口店@東京都@関東] Score: 1602145821 
142. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1600218560 
159. Kiririya  [中級者]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1594902610 
161. PICO  [羅刹神]    [タイトーステーション秋葉原店@東京都@関東] Score: 1594455072 
163. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1593042162 
166. BEGINNER  [GROOVER]    [セガ池袋ギーゴ@東京都@関東] Score: 1591017778 
178. K-FISHER  [GROOVER]    [タイトーイン綾瀬@東京都@関東] Score: 1585615986 
190. remina  [LINK PERFECT]    [セガ代々木@東京都@関東] Score: 1578636620 
193. TAPE  [踊ってみたら七変化！]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1577932477 
196. NFRyo  [永遠の中二病]    [タイトーステーション秋葉原店@東京都@関東] Score: 1576567781 
205. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1570712989 
206. Eagle.  [つらい]    [タイトーイン綾瀬@東京都@関東] Score: 1570465854 
207. FFF  [GROOVER]    [セガワールド福生@東京都@関東] Score: 1570379661 
209. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1569482087 
216. GARYU!!!  [初代SSS CLASS]    [タイトーステーション町田店@東京都@関東] Score: 1564509859 
228. SGK4444  [尊い・・・]    [タイトーステーション秋葉原店@東京都@関東] Score: 1555409217 
245. LOCK  [DX超性能フルメタル先生]    [セガ池袋ギーゴ@東京都@関東] Score: 1545491049 
252. e99tart  [GROOVER]    [セガワールド大森@東京都@関東] Score: 1543540542 
253. ARuFa  [クロビ勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1542894471 
263. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1535761583 
282. SHIENA  [世界の傍観者]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1523780657 
284. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1522778352 
285. 504939  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1522633090 
293. JACK  [夢に向かって飛び立て！]    [Ｈｅｙ@東京都@関東] Score: 1520277650 
308. Takato.  [ピュアヒューリーズ]    [タイトーステーション南大沢店@東京都@関東] Score: 1507920470 
314. Tsukasa  [K.I.N.G]    [アムネット五反田店@東京都@関東] Score: 1503443741 
319. TOARU  [尊い・・・]    [タイトー多摩センター店@東京都@関東] Score: 1500557396 
331. Yahiga  [練習中]    [セガ秋葉原１号館@東京都@関東] Score: 1490127582 
342. K.K-OTL  [がんばリンカちゃん！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1483502625 
343. The+GoD.  [ステルスゴッド]    [Ｈｅｙ@東京都@関東] Score: 1483399095 
352. H.MINATO  [付喪神]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1473006728 
355. T.naturu  [空想神]    [セガワールド船堀@東京都@関東] Score: 1470070467 
362. Wing  [GROOVER]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1464923285 
364. Giraty  [しんどい]    [セガ秋葉原１号館@東京都@関東] Score: 1464391235 
365. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション上野アメ横@東京都@関東] Score: 1463498988 
370. AKIBOSHI  [ニャスニャス！]    [タイトーステーション立川北口店@東京都@関東] Score: 1458896211 
371. A9  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1458746213 
377. SIRA_P  [歌って踊れるゲーマーアイドル]    [タイトーステーション町田店@東京都@関東] Score: 1453347412 
388. komachi  [死神]    [Ｈｅｙ@東京都@関東] Score: 1446564296 
390. kana  [鹿児島勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1445476806 
