12. marirui  [ouroboros god]    [タイトーステーション弥富店@愛知県@東海] Score: 1635999269 
22. HAK0BUNE  [Rebellion God]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1634695013 
25. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション弥富店@愛知県@東海] Score: 1633980661 
37. CATENARY  [31337神]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1632420088 
41. Hirojixi  [夢現神]    [タイトーステーション弥富店@愛知県@東海] Score: 1631628753 
44. B  [Bee God]    [セガ安城@愛知県@東海] Score: 1631364106 
64. HIKARU  [GOD OF REVIVAL]    [タイトーステーション大須店@愛知県@東海] Score: 1627801971 
71. M2*NI53  [PLUTO]    [タイトーステーション大須店@愛知県@東海] Score: 1626704122 
90. SNK  [全都道府県完全制覇]    [ユーファクトリー安城店@愛知県@東海] Score: 1622217336 
109. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1615955040 
154. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1597779468 
155. NOGUnSO  [S級服部半蔵]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1597682536 
169. Raiu  [泡はきドラゴン]    [タイトーステーション豊橋店@愛知県@東海] Score: 1590067262 
180. HiBi  [DREAM PARTY!]    [タイトーステーション弥富店@愛知県@東海] Score: 1584918359 
202. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1571732242 
224. mrskon-G  [空想神]    [タイトーステーション大須店@愛知県@東海] Score: 1557350209 
226. karinPTV  [I love "Lost Colors"]    [タイトーステーション弥富店@愛知県@東海] Score: 1556657830 
233. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1552738432 
240. AKIO  [I love "Invader GIRL!"]    [ユーズランド東浦店@愛知県@東海] Score: 1549588184 
266. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1532993540 
269. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1531121967 
278. MiKUya  [シンセサイザ ゴッド]    [安城メトロポリス@愛知県@東海] Score: 1525887248 
291. tsuccho  [リズム感の神]    [中川メトロポリス@愛知県@東海] Score: 1521014387 
303. HERM+G  [I love IOSYS]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1511379316 
336. Slug  [Gaiden GOD]    [ステーション２０１@愛知県@東海] Score: 1488194358 
373. TONEMA  [パンプキン神]    [セガ金山@愛知県@東海] Score: 1457169264 
384. pcfx  [技名を叫んでから殴る先生]    [セガワールド上小田井@愛知県@東海] Score: 1447547864 
392. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1443300543 
406. St.Rhea  [I LOVE ZUNTATA]    [アミューズファクトリー@愛知県@東海] Score: 1425223854 
429. GGO  [次の曲が始まるのです女神]    [ユーズランド東浦店@愛知県@東海] Score: 1409939061 
466. VOUZZZZZ  [排除する！]    [ラウンドワン豊橋店@愛知県@東海] Score: 1382028015 
470. PRESTIGE  [グルコ種]    [ポート２４御津@愛知県@東海] Score: 1378442827 
522. Y0S1TUN3  [紫電一閃]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1326614020 
523. Roku  [ルーキー]    [コムテックタワー@愛知県@東海] Score: 1325733108 
524. R.EIMU  [God a pain cover?]    [タイトーステーション弥富店@愛知県@東海] Score: 1324064855 
547. Sasanqua  [無理]    [タイトーステーション大須店@愛知県@東海] Score: 1307693555 
567. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1294437036 
569. 0_0  [がっかリンカちゃん]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1294260848 
626. NETABARE  [I am King]    [アーバンスクエア大須@愛知県@東海] Score: 1253595722 
658. YKL  [キャッチ・ザ・ハート]    [コムテックスクウェア@愛知県@東海] Score: 1230473840 
737. ethyl  [ポリリズムマスター]    [タイトーステーション大須店@愛知県@東海] Score: 1192506574 
787. NYUDORA  [無理]    [タイトーステーション弥富店@愛知県@東海] Score: 1167736964 
788. KEY.MA  [隠れた逸材]    [ユーワールド豊明@愛知県@東海] Score: 1167703929 
798. rikuoh-M  [甘い甘い神様]    [ユーズランド東浦店@愛知県@東海] Score: 1164859391 
825. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1145743962 
834. orbit  [グルーヴ十段]    [ポート２４八事店@愛知県@東海] Score: 1142335374 
861. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1130718103 
