134. tope-kon  [岩手勢]    [ラウンドワン盛岡店@岩手県@東北] Score: 1606514146 
301. AIR4545K  [初代S CLASS]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1517535740 
322. NAO  [I love ATTACK THE MUSIC]    [さんさんらんど大船渡@岩手県@東北] Score: 1501363589 
409. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1424190802 
418. Ject  [I love IOSYS]    [ラウンドワン盛岡店@岩手県@東北] Score: 1419391788 
480. Gram  [道なき道の挑戦者]    [ラウンドワン盛岡店@岩手県@東北] Score: 1369447288 
483. arx-8  [I love 拳]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1364761296 
524. SU-3.  [VEGAS GOD]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1328029794 
562. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1300083106 
733. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1195577616 
862. TenCha  [わんこそば]    [ゲームランド盛岡店@岩手県@東北] Score: 1133606327 
937. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1087441967 
