94. NORIp  [HONEY SUNRiSE GODDESS]    [カレッジ・スクエア@山形県@東北] Score: 1623208160 
100. SHUU  [I love "ストリーミングハート"]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1621700584 
147. cycla.  [恋愛裁判神]    [カレッジ・スクエア@山形県@東北] Score: 1600075690 
183. H.SYSTEM  [CROSSROAD HILL]    [遊パラダイス@山形県@東北] Score: 1585564704 
210. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1570098763 
236. GFP  [I love Ray series]    [カレッジ・スクエア@山形県@東北] Score: 1553594292 
263. CHIRU9  [パンプキン神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1540906172 
385. SYANK  [大奇跡「八坂の神風」]    [アピナ鶴岡店@山形県@東北] Score: 1451193407 
406. DJ+890  [しんどい]    [パルケデアミーゴ！山形店@山形県@東北] Score: 1430458049 
434. UDONGE_  [グルーヴ一万段]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1409782727 
581. CO-kichi  [S+級ゆきだるま]    [セガワールド北山形@山形県@東北] Score: 1286142092 
602. Remilia  [緑眼のジェラシー]    [アピナ鶴岡店@山形県@東北] Score: 1272914254 
653. KAISEN  [LINK TRANCE]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1237139977 
784. FMNR  [ふたつのARIA]    [スーパーノバ天童@山形県@東北] Score: 1170630990 
786. Toaru  [＼ﾁｰﾝ／]    [アピナ鶴岡店@山形県@東北] Score: 1169369479 
855. FeeT  [I love "バーニングフォースメドレー"]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1137321711 
873. Ohyang  [宮城勢]    [ビーカム成沢店@山形県@東北] Score: 1126403169 
