48. Shikyo  [秋田勢]    [プラボ札幌西町店@北海道@北海道] Score: 1633418482 
73. Sasuke  [エンヴィキャットゴッド]    [ビッグバン釧路@北海道@北海道] Score: 1628426554 
76. chris  [Detonator God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1627666673 
90. LEE  [幸運の素兎]    [キャッツアイ恵庭店@北海道@北海道] Score: 1624597106 
153. Rinne!?  [ピッチピチ16歳]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1598951060 
260. Tokky  [MY FIRST GOD]    [アドアーズ狸小路@北海道@北海道] Score: 1541768614 
286. Yui.  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1525548387 
293. SCP-106  [無理]    [キャッツアイ篠路店@北海道@北海道] Score: 1523450323 
310. CHIK.WAV  [尊い・・・]    [タイトーステーション千歳店@北海道@北海道] Score: 1510136875 
313. BIS(9)  [すっごーい！]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1507586475 
336. COACH  [I love ATTACK THE MUSIC]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1488572315 
347. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1480312846 
348. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1480227404 
374. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1458451790 
395. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1440668120 
412. Indigo  [I love ATTACK THE MUSIC]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1422239843 
439. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1409248282 
486. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1363646240 
526. AYATAKA  [HONEY SUNRiSE QUEEN]    [キャッツアイ手稲店@北海道@北海道] Score: 1325122341 
548. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1313426934 
551. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1310382473 
571. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1294350933 
629. tzw10430  [GROOVER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1253795722 
634. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1249805265 
706. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1205652577 
729. SHINDEN  [God more raves?]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1197746634 
822. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1153654248 
829. Oriens  [DEC, 2017 TOP RANKER]    [キャッツアイ麻生店@北海道@北海道] Score: 1146787042 
842. BOLUX  [つらい]    [キャッツアイ手稲店@北海道@北海道] Score: 1142118655 
869. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1129405762 
871. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1127642989 
905. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1106956025 
907. ++CaL+/  [Ｓ＋級からあげ]    [タイトーステーション千歳店@北海道@北海道] Score: 1105742663 
920. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1098762644 
929. Bump  [天体観測大王]    [キャッツアイ麻生店@北海道@北海道] Score: 1091271288 
931. MoyaC.  [世界で一番宇宙で銀河]    [ラウンドワン函館店@北海道@北海道] Score: 1090411303 
941. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1086372680 
969. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1066200811 
