49. Shikyo  [Shadow God]    [キャッツアイ麻生店@北海道@北海道] Score: 1633475099 
76. Sasuke  [エンヴィキャットゴッド]    [ビッグバン釧路@北海道@北海道] Score: 1628447200 
80. chris  [Detonator God]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1627759764 
92. LEE  [I love "My Voice is Dead."]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1624625143 
157. Rinne!?  [ピッチピチ16歳]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1598951060 
263. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1541768614 
290. Yui.  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1525548387 
294. SCP-106  [無理]    [キャッツアイ篠路店@北海道@北海道] Score: 1523450323 
311. CHIK.WAV  [尊い・・・]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1510159386 
317. BIS(9)  [すっごーい！]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1507613042 
335. COACH  [I love ATTACK THE MUSIC]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1490524994 
349. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1480394659 
351. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1480277866 
375. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1458451790 
396. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1440668120 
440. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1409248282 
488. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1363646240 
528. AYATAKA  [Satisfiction King]    [キャッツアイ手稲店@北海道@北海道] Score: 1325896071 
549. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1313426934 
551. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1310382473 
573. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1294350933 
631. tzw10430  [GROOVER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1253795722 
635. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1249805265 
707. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1205652577 
729. SHINDEN  [God more raves?]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1198763280 
821. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1153654248 
825. Oriens  [DEC, 2017 TOP RANKER]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1149424269 
841. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1142120684 
867. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1129405762 
869. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1127642989 
897. Shivaty  [railgun god]    [ビックバン函館@北海道@北海道] Score: 1112592419 
904. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1106956025 
906. ++CaL+/  [Ｓ＋級からあげ]    [タイトーステーション千歳店@北海道@北海道] Score: 1105742663 
907. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1105259805 
930. Bump  [天体観測大王]    [キャッツアイ麻生店@北海道@北海道] Score: 1092141970 
933. MoyaC.  [世界で一番宇宙で銀河]    [ラウンドワン函館店@北海道@北海道] Score: 1090411303 
970. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1066200811 
990. S@KRAMnT  [真・一億段]    [タイトーステーション千歳店@北海道@北海道] Score: 1054447638 
999. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1050667550 
