1. marirui  [Ｓ級幼稚園児]    [ゲームランド（岡崎）@愛知県@東海] Score: 1652000000 
2. K.I.  [GLITHCRE GOD]    [セガイオンモール岡山@岡山県@中国] Score: 1652000000 
3. zoroakun  [ケルベロス]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1651941644 
4. HIHIME  [朱雀]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1651894890 
5. pillow  [「誰も知らない おとぎばなし」]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1651610058 
6. Shisa  [GLITHCRE GOD]    [セガ霞ヶ浦@茨城県@関東] Score: 1651425744 
7. Hazuneko  [環状線神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1651241424 
8. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1650740875 
9. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1650727545 
10. mikan?  [あのね…実はわたし、女神なんだ…?]    [ラウンドワン青森店@青森県@東北] Score: 1650684736 
11. Hirojixi  [夢現神]    [半田メトロポリス@愛知県@東海] Score: 1650679310 
12. K.x*N3  [God recover run]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1650430999 
13. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1650158279 
14. SofLan  [無理]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1650090071 
15. 2K-DeW  [God noir forever.]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1650021897 
16. SKYMAN  [名も無い幼い神]    [スターダスト@岡山県@中国] Score: 1649976807 
17. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1649908261 
18. BL4CK3M0  [アザレアの神]    [プレイランドキング円町店@京都府@近畿] Score: 1649556795 
19. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1649036925 
20. NARSAN  [GAME MUSIC TRIANGLER]    [プレイロットジョイ@東京都@関東] Score: 1648953292 
21. MiroT  [福岡勢]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1648896747 
22. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1648828349 
23. HAK0BUNE  [黒龍]    [コムテックタワー@愛知県@東海] Score: 1648805292 
24. MHRJ  [星の歌姫]    [ロックンボウル@秋田県@東北] Score: 1648752984 
25. QWERTZ  [ドーモ、グルーヴァー=サン…]    [ビーカム松森店@宮城県@東北] Score: 1648309521 
26. Inver  [神の末裔の亡霊]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1647823806 
27. tsnk  [名も無い幼い神]    [ジーカム和白@福岡県@九州] Score: 1647442133 
28. 9_tan*40  [九龍神]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1647399972 
29. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1647318461 
30. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1647070888 
31. SCOTT  [変なTシャツ女神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1646524888 
32. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1646003878 
33. TyonTa  [INDIGO RESTAURANT]    [タイトーイン綾瀬@東京都@関東] Score: 1645908634 
34. KEYJILL*  [変なTシャツ女神]    [セガ霞ヶ浦@茨城県@関東] Score: 1645741558 
35. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1645640241 
36. Mavis.V  [ふたつのARIA]    [ファンタジーパーク@栃木県@関東] Score: 1645499963 
37. LEAF  [Ｓ＋級たい焼き]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1645203549 
38. ISiNKaGe  [影の神]    [タイトーステーション立川北口店@東京都@関東] Score: 1645188123 
39. BRO  [青森勢]    [ｎａｍｃｏ那覇メインプレイス店@沖縄県@九州] Score: 1644552022 
40. KenWong  [水中だと力が増す人魚]    [HOLLYWOOD GAME ZONE@Hong Kong@海外] Score: 1644480447 
41. NEO+ex  [S級真田信之]    [ハイテクランド　キューデン@東京都@関東] Score: 1644467612 
42. DogDept.  [V.I.P先生]    [ラウンドワン東淀川店@大阪府@近畿] Score: 1644327527 
43. Xuzuo  [God's Blood]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1643994701 
44. Hei*  [God of Moon]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1642453172 
45. Uetsu  [つらい]    [メジャーゲーム館@新潟県@信越] Score: 1642086534 
46. TAK1  [Can Do God]    [セガワールド大森@東京都@関東] Score: 1641859811 
47. PoCkRo.B  [うー！がぉー！]    [タイトーステーション立川北口店@東京都@関東] Score: 1641630762 
48. antisan  [黒龍]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1641279119 
49. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1641140745 
50. YUKIMARU  [GLITHCRE GOD]    [ラウンドワン東大阪店@大阪府@近畿] Score: 1641000000 
51. WARNING  [WARNING!!]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1640838287 
52. Megumin  [S級武田勝頼]    [ＴＡＣ郡山@福島県@東北] Score: 1640710630 
53. ERION+++  [I love "ﾊｲﾊﾟｰｺﾞｱﾑｻｻﾋﾞｽﾃｨｯｸﾃﾞｨｻﾋﾟｱﾘｼﾞｰﾆｬｽ"]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1640586518 
54. LEOPARD6  [「馬鹿じゃないの？」]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1640429182 
55. *Gamer*  [HARDCORE SYNDROME]    [タイトーステーション船橋店@千葉県@関東] Score: 1640409403 
56. B  [I love "シルバーバレット"]    [セガ安城@愛知県@東海] Score: 1640377336 
57. CROW  [しんどい]    [セガ秋葉原１号館@東京都@関東] Score: 1640207902 
58. Komimi  [I Love IA]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1639685130 
59. Yahiko*  [スターミュージシャン]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1639358866 
60. /*nYa  [名も無い幼い神]    [メジャーゲーム館@新潟県@信越] Score: 1639341966 
61. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1639328493 
62. FRED  [I love "二息歩行"]    [アピナ伊那店@長野県@信越] Score: 1639233983 
63. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション弥富店@愛知県@東海] Score: 1638981578 
64. TUXEDO.R  [FEVER! FEVER! FEVER!]    [メジャーロード白根店@新潟県@信越] Score: 1638199186 
65. L.pis*YY  [QLWAGOD]    [ラウンドワン郡山店@福島県@東北] Score: 1638080740 
66. SEA+EX  [鵺]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1638038705 
67. GUREKO+  [超COOL!]    [ロックンボウル@秋田県@東北] Score: 1637353617 
68. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1636996167 
69. CloudyB.  [真・十溝段]    [MOFUN SEOUL@Korea@海外] Score: 1636906308 
70. Shikyo  [Shadow God]    [キャッツアイ麻生店@北海道@北海道] Score: 1636464095 
71. Sasuke  [エンヴィキャットゴッド]    [ビッグバン釧路@北海道@北海道] Score: 1636394167 
72. 9*cM  [デュラハン]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1636299912 
73. YASUNA  [DADDY GOD]    [セガワールド府中@東京都@関東] Score: 1636112231 
74. SHUU  [名も無い幼い神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1635862828 
75. IIBOU  [自然の敵]    [タイトーＦステーション上越店@新潟県@信越] Score: 1635837352 
76. M2*NI53  [姉の歌姫]    [コムテックタワー@愛知県@東海] Score: 1635816586 
77. N4ken@Bs  [Perverse Love God!]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1635461847 
78. CATENARY  [31337神]    [セガ金山@愛知県@東海] Score: 1635428973 
79. kum@risa  [全都道府県完全制覇]    [ラッキー八千代店@千葉県@関東] Score: 1635378186 
80. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1634903895 
81. FIEL  [メカクシ団]    [スペースファンタジーインフィニ@青森県@東北] Score: 1634835106 
82. Y*xx-!?  [でんぱ神]    [ゲームディーノ彦根店@滋賀県@近畿] Score: 1634657548 
83. A.S.HERO  [姉の歌姫]    [ATTACK GAME CENTER@Korea@海外] Score: 1634583351 
