22. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1649109553 
30. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1648099514 
31. Inver  [神の末裔の亡霊]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1647823806 
45. TAK1  [Can Do God]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1644815435 
60. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1641147797 
64. LEOPARD6  [GLITHCRE KING]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1640489239 
70. Yahiko*  [スターミュージシャン]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1639358866 
71. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1639328493 
89. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1634903895 
101. FUJIN  [AM貴族　すたどんたん女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1631762790 
112. GIL  [グルーヴ百段]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1626821865 
117. NOLF68  [ALERT]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1623377091 
160. NATUNON  [Circuit GOD]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1605347889 
179. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1595919312 
196. MYU-10  [一番星☆☆☆]    [タイトーステーション小田原店@神奈川県@関東] Score: 1588889263 
197. FSTK  [Chaos God]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1588870355 
207. MINE.  [アキバ神]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1583183122 
221. M4R1S4  [神の末裔の亡霊]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1572861212 
224. POTETO  [戦車女神]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1568937991 
239. DAGO  [しんどい]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1560088109 
242. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1557421052 
256. KENTA-09  [I love "LIMIT BURST"]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1550313810 
271. SAIKI  [すぽぉぉぉぉぉん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1542006800 
284. Magnolia  [PRINCESS]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1534405943 
289. PROCO.Jr  [うー！がぉー！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1532109478 
296. YooshiEX  [GLITHCRE GOD]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1526706820 
297. E-ZONE  [技名を叫んでから殴る大王]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1525697310 
301. IZMISTER  [「叫べ 叫べ 遠くへ」]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1525092330 
307. MOYAex3  [Night Life God]    [ＡＭスポットドリームス@神奈川県@関東] Score: 1520312456 
350. MORIMORI  [TANO*C MASTER]    [タイトーステーション藤沢店@神奈川県@関東] Score: 1483535273 
376. SIRA_P  [I love ONE 2016]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1464139701 
385. R-TYPE.E  [超シューティング神]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1456105098 
420. MBK-GIL  [隊長さん]    [ラウンドワン高津店@神奈川県@関東] Score: 1426286049 
428. DEDEDE  [S級毛利元就]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1420354534 
435. FAN  [HUNGRY GLUTTONS]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1417128102 
456. Y0M1  [名も無い幼い神]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1402587389 
458. Daizu  [しんどい]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1401471936 
464. IRUKA  [十人の話を同時に聞くことが出来る女神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1397723853 
481. Galax  [ご覚悟くださいませ☆]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1378810782 
484. TeiEnShi  [弱虫大王]    [セガワールドトレッサ横浜@神奈川県@関東] Score: 1371621626 
502. Riza.  [名も無い幼い神]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1356417549 
512. GLFA  [わわわわーにん！]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1346164031 
519. T  [にぼし！にぼし！きんぐ]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1339567311 
520. AsRatio  [にぼし！にぼし！ますたー]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1336914737 
528. Ti@+4T23  [永遠に紅い幼き月]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1332192414 
541. Al2O3  [梅田先生]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1321601201 
547. SAKURA  [悲劇の「女王」]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1315732447 
556. BLACK  [金色の異端児]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1310207934 
574. nagaitoR  [半径85センチ大王]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1299571960 
583. Nakagawa  [無理]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1291705640 
584. DJ+87GT  [強欲の魔法使い]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1291265790 
597. LOVE  [バビロン神]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1284079736 
601. 43  [I Love IA]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1280535186 
613. Touya  [THE BLUE MASTER]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1270447835 
