1. marirui  [Ｓ級幼稚園児]    [コムテックタワー@愛知県@東海] Score: 1643000000 
9. Hirojixi  [夢現神]    [セガ金山@愛知県@東海] Score: 1642687998 
22. YUKIMARU  [Linear God]    [タイトーステーション大須店@愛知県@東海] Score: 1640997623 
28. B  [バレットゴッド]    [セガ安城@愛知県@東海] Score: 1640323142 
31. HAK0BUNE  [Groove master?]    [コムテックタワー@愛知県@東海] Score: 1639910365 
70. HIKARU  [GOD OF REVIVAL]    [コムテックタワー@愛知県@東海] Score: 1632669642 
78. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション弥富店@愛知県@東海] Score: 1629981578 
83. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1629105493 
90. M2*NI53  [「燃やせ 燃やせ その心を」]    [コムテックタワー@愛知県@東海] Score: 1627802807 
94. CATENARY  [31337神]    [セガ金山@愛知県@東海] Score: 1626480683 
104. KUPU  [CERAMIC GOD]    [タイトーステーション弥富店@愛知県@東海] Score: 1623778088 
151. NOGUnSO  [「叫べ 叫べ 遠くへ」]    [セガ安城@愛知県@東海] Score: 1602738624 
155. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1601508113 
167. *BUSY-0  [完全に極めたなっしんぐ]    [キングジョイ@愛知県@東海] Score: 1595085287 
172. HiBi  [ふたつのARIA]    [ゲームランド（岡崎）@愛知県@東海] Score: 1592239006 
189. daisuki  [「荒ぶる戦士」]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1583189698 
220. karinPTV  [I love "Lost Colors"]    [タイトーステーション弥富店@愛知県@東海] Score: 1566071403 
233. mrskon-G  [空想神]    [コムテックタワー@愛知県@東海] Score: 1556630433 
239. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1553721464 
242. AKIO  [I love "Invader GIRL!"]    [ユーズランド東浦店@愛知県@東海] Score: 1552085362 
272. NAOTOMO  [仮初の満足]    [タイトーステーション大須店@愛知県@東海] Score: 1536979816 
282. MAID  [変なTシャツヤロー]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1531165699 
289. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1525096410 
296. MiKUya  [シンセサイザ ゴッド]    [安城メトロポリス@愛知県@東海] Score: 1519035302 
299. HERM+G  [I love IOSYS]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1517738907 
310. tsuccho  [リズム感の神]    [中川メトロポリス@愛知県@東海] Score: 1512105853 
315. NANAMI!?  [アドリブ村長]    [タイトーステーション大須店@愛知県@東海] Score: 1508045811 
342. Slug  [Gaiden GOD]    [ステーション２０１@愛知県@東海] Score: 1484114239 
352. TONEMA  [パンプキン神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1476271308 
359. HOSOus  [リヴァイアサン]    [コムテックプラザ赤池@愛知県@東海] Score: 1472992116 
370. pcfx  [I love "カノン"]    [タイトーステーション弥富店@愛知県@東海] Score: 1463851223 
400. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1434551562 
422. St.Rhea  [I LOVE ZUNTATA]    [アミューズファクトリー@愛知県@東海] Score: 1419963408 
428. Alice  [死ぬがよい。]    [Ｍ’Ｓ　ＰＡＲＫ刈谷店@愛知県@東海] Score: 1415867736 
449. GGO  [次の曲が始まるのです女神]    [ユーズランド東浦店@愛知県@東海] Score: 1401295744 
476. PRESTIGE  [グルコ種]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1378347687 
523. Y0S1TUN3  [紫電一閃]    [アーバンスクエア大須@愛知県@東海] Score: 1331071315 
540. R.EIMU  [God a pain cover?]    [タイトーステーション弥富店@愛知県@東海] Score: 1315064855 
