54. LEE  [草の根妖怪ネットワーク]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1642651677 
59. Shikyo  [Shadow God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1641411476 
65. Sasuke  [犬神]    [ビッグバン釧路@北海道@北海道] Score: 1640426002 
91. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1633765262 
180. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1595898080 
273. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1541389420 
296. CHIK.WAV  [尊い・・・]    [ラウンドワン札幌白石本通店@北海道@北海道] Score: 1523104504 
302. SCP-106  [無理]    [キャッツアイ篠路店@北海道@北海道] Score: 1519548253 
315. BIS(9)  [すっごーい！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1513875955 
332. COACH  [I love ATTACK THE MUSIC]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1492498328 
347. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1484329072 
353. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1479503408 
365. TKK  [無理]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1471630932 
402. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1436618391 
442. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1409199341 
502. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1354646240 
513. AYATAKA  [サイエンスキング]    [キャッツアイ手稲店@北海道@北海道] Score: 1342572044 
562. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1305148682 
568. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1301398354 
591. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1286707334 
618. tzw10430  [ARIA ON THE PLANETES]    [キャッツアイ新札幌店@北海道@北海道] Score: 1266506142 
645. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1246027793 
688. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1221857621 
721. SHINDEN  [人造神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1204944547 
844. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1145081947 
845. Oriens  [DEC, 2017 TOP RANKER]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1144601512 
853. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1137052077 
862. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1132759841 
868. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1130234102 
879. Jibri-l*  [変なTシャツ女神]    [キャッツアイ麻生店@北海道@北海道] Score: 1126425798 
888. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
922. ++CaL+/  [Ｓ＋級からあげ]    [タイトーステーション千歳店@北海道@北海道] Score: 1098985377 
923. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
927. MoyaC.  [世界で一番宇宙で銀河]    [ギャラクシーゲート函館@北海道@北海道] Score: 1096173198 
934. Bump  [天体観測大王]    [キャッツアイ麻生店@北海道@北海道] Score: 1091682436 
980. KLESS  [I love "魔法少女幸福論"]    [キャッツアイ麻生店@北海道@北海道] Score: 1066332601 
994. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1057436119 
996. S@KRAMnT  [真・一億段]    [ファンタジープラザ苫小牧@北海道@北海道] Score: 1055571589 
