21. 2K-DeW  [のっぺい汁]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1650059920 
32. 9_tan*40  [ミライゴッド]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1647416999 
53. QWERTZ  [臥薪嘗胆]    [ゲームコーナー東部@宮城県@東北] Score: 1643442847 
87. U5*  [てゐ神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1635393247 
164. DNOO  [初代DREAMER]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1602894135 
227. BYDO  [BRIER CASTLE]    [プレイランドエフワンＲ@宮城県@東北] Score: 1567194012 
308. AINA  [グルーヴ三万段]    [ゲームコーナー東部@宮城県@東北] Score: 1518452731 
318. Tac  [第二回天下一音ゲ祭 ファイナリスト]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1511552292 
338. WAKIDON  [おにぎりむしゃ～り！]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1490183357 
360. NIMR  [Ｓ級神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1475745301 
368. Wing  [GROOVER]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1471331339 
412. JOREN3rd  [Marry me, King]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1432979054 
417. TATHI  [金色の異端児]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1430604406 
488. RON-G  [I love "ナイト・オブ・ナイツ"]    [ラウンドワン仙台苦竹店@宮城県@東北] Score: 1365459394 
524. Y0S1TUN3  [紫電一閃]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1333960651 
552. BLAZE283  [I love "LIMIT BURST"]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1314208876 
576. MARISA  [普通の魔法使い]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1296744242 
587. Nakagawa  [無理]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1290505709 
599. TSL  [ヘリで来た。]    [プレイランドエフワンＲ@宮城県@東北] Score: 1281265787 
620. Nico252*  [「一緒に帰ろう」]    [プラサカプコン石巻店@宮城県@東北] Score: 1264851416 
717. Glosoli  [LINK PERFECT]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1207232053 
733. HiBiKi  [Ｓ＋級コーヒー]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1195850212 
756. RICE  [初代SSS CLASS]    [サードプラネットＢｉＶｉ仙台店@宮城県@東北] Score: 1186442078 
784. camnaven  [ヤンキー先生]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1172124524 
843. Riznia  [Extra God]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1146889919 
879. himiya  [シンドイ・ザ・クイーン]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1126745203 
