5. NARSAN  [GAME MUSIC TRIANGLER]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1651969199 
18. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1650744932 
24. TyonTa  [おねがい神様]    [タイトーイン綾瀬@東京都@関東] Score: 1649929487 
30. KER?  [アドリブ係長]    [タイトーステーション池袋西口店@東京都@関東] Score: 1648865471 
42. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1645690861 
48. NEO+ex  [S級真田信之]    [ハイテクランド　キューデン@東京都@関東] Score: 1644698983 
57. Inver  [店内SS CLASS]    [タイトーイン綾瀬@東京都@関東] Score: 1642850479 
60. ERION+++  [I love "働かずに食う [IA Ver.]"]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1642584763 
61. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1642097229 
80. Ryukl*  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1637356495 
105. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1630742294 
113. Nera  [弱虫神]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1624968758 
115. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1623858328 
116. GIL  [グルーヴ百段]    [ＡＳＯ：ＶＩＢＡ！@東京都@関東] Score: 1623570389 
117. NOLF68  [ALERT]    [セガ池袋ギーゴ@東京都@関東] Score: 1623327930 
125. RETurn  [LINK PERFECT]    [タイトーイン綾瀬@東京都@関東] Score: 1620988727 
137. Albireo  [LINK PERFECT]    [プレイロットジョイ@東京都@関東] Score: 1614979786 
146. MIKO  [RinLenGod]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1611248505 
153. KUU  [「本当の僕はどこに行ったっけ?」]    [タイトーイン綾瀬@東京都@関東] Score: 1608293229 
168. Raiu  [泡はきドラゴン]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1600607033 
182. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1597280209 
184. TAPE  [踊ってみたら七変化！]    [セガ秋葉原１号館@東京都@関東] Score: 1595791363 
186. NANOHA77  [沖縄勢]    [セガ秋葉原１号館@東京都@関東] Score: 1595422158 
187. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1594576436 
197. remina  [LINK PERFECT]    [セガ代々木@東京都@関東] Score: 1587377670 
198. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1587366988 
201. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1584254668 
206. DADDY  [たのしー！]    [セガ秋葉原１号館@東京都@関東] Score: 1581878219 
207. 27  [すっごーい！]    [タイトーステーション町田店@東京都@関東] Score: 1581131270 
211. MAKURO  [Reload God]    [タイトーステーション新宿東口店@東京都@関東] Score: 1580121252 
212. GARYU!!!  [グルーヴ六十万段]    [セガ秋葉原１号館@東京都@関東] Score: 1577893439 
218. Eagle.  [つらい]    [タイトーイン綾瀬@東京都@関東] Score: 1572465010 
219. SGK4444  [尊い・・・]    [タイトーステーション秋葉原店@東京都@関東] Score: 1572227649 
226. LOCK  [神・陸段]    [セガ池袋ギーゴ@東京都@関東] Score: 1567199871 
231. M4R1S4  [明星神]    [タイトーイン綾瀬@東京都@関東] Score: 1565868193 
246. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1554694640 
260. 504939  [Freedom God]    [タイトーイン綾瀬@東京都@関東] Score: 1546823900 
266. e99tart  [GROOVER]    [ハイテクランドセガ池上@東京都@関東] Score: 1543447329 
269. W.F.184  [I AM EDM]    [タイトーステーション池袋西口店@東京都@関東] Score: 1543090655 
278. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1539688653 
