7. zoroakun  [ケルベロス]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1651958674 
12. ERION+++  [I love "アヤノの幸福理論"]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1651572300 
76. Mavis.V  [God more raves?]    [ファンタジーパーク@栃木県@関東] Score: 1640567103 
93. Law  [運び屋]    [プラボ宇都宮店@栃木県@関東] Score: 1635836072 
500. LOTUS  [電脳紀行神]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1360214389 
512. KNN&nyn  [壁抜けの邪仙]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1347570869 
589. prn  [しんどい]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1290665865 
692. TRACE  [シンデレラ ゴッデス]    [キラキラＡｓｏｂｏｘ宇都宮店@栃木県@関東] Score: 1220363584 
715. Hiver  [I love "女々しくて"]    [ラウンドワン栃木・樋ノ口店@栃木県@関東] Score: 1211442805 
745. Esuka  [ヴァンパイア姫]    [セガ今市@栃木県@関東] Score: 1193540758 
787. KOU  [さぁ…ゲームスタートだ！]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1171858296 
791. GXE10  [死欲の半霊]    [タイトーＦステーション小山店@栃木県@関東] Score: 1167533959 
961. APO  [ダンシング☆カミサマ]    [テクモピアインターパーク店@栃木県@関東] Score: 1079861805 
968. KaraKure  [「未熟な暴れ者」]    [セガ今市@栃木県@関東] Score: 1076198604 
