10. Megumin  [真・十級]    [ＴＡＣ郡山@福島県@東北] Score: 1651715299 
20. L.pis*YY  [QLWAGOD]    [ＴＡＣ郡山@福島県@東北] Score: 1651077277 
28. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1650008808 
118. KENO  [三代目スコアタ公爵]    [ラウンドワン福島店@福島県@東北] Score: 1626170004 
216. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1580724441 
261. DFMEX  [神・肆級]    [セガ小名浜@福島県@東北] Score: 1550430406 
358. HIS.  [I love t+pazolite]    [スーパーノバ会津インター店@福島県@東北] Score: 1482410340 
449. IF  [GROOVER]    [セガ小名浜@福島県@東北] Score: 1408215589 
454. Pepper  [WARNING!!]    [ドリームファクトリーいわき店@福島県@東北] Score: 1403284357 
463. OO568  [エストポリス神]    [ラウンドワン郡山店@福島県@東北] Score: 1397200562 
575. sin.  [福島勢]    [セガワールド白河@福島県@東北] Score: 1299656412 
770. VIRGO  [SUPER STAR]    [セガ小名浜@福島県@東北] Score: 1183098437 
837. DDR!?  [Sampling Masters]    [ドリームファクトリーいわき店@福島県@東北] Score: 1154395255 
839. Omeme8e  [萌えキュンソングを世界にお届け！]    [セガ小名浜@福島県@東北] Score: 1153193482 
942. sousetsu  [議論神]    [ドリームファクトリーいわき店@福島県@東北] Score: 1090612096 
