4. KEI  [エストポリス神]    [セガ幕張@千葉県@関東] Score: 1657987895 
6. zoroakun  [ケルベロス]    [セガ幕張@千葉県@関東] Score: 1657959163 
15. DogDept.  [遠征]    [セガ幕張@千葉県@関東] Score: 1657341785 
40. SCOTT  [春夏秋冬の神]    [セガ幕張@千葉県@関東] Score: 1652719501 
41. LEAF  [Ｓ＋級たい焼き]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1652575706 
48. Lasty  [I love "ようこそジャパリパークへ"]    [セガ幕張@千葉県@関東] Score: 1650979425 
52. PoCkRo.B  [第二回天下一音ゲ祭 ファイナリスト]    [セガ幕張@千葉県@関東] Score: 1650742645 
71. MELLROCK  [Ｓ＋級うどん]    [セガ幕張@千葉県@関東] Score: 1647116713 
79. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1644189237 
85. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1643657578 
95. OKA-MH  [とり天]    [セガ幕張@千葉県@関東] Score: 1642360613 
110. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1635308824 
113. GIL  [グルーヴ百段]    [セガ幕張@千葉県@関東] Score: 1632235360 
116. Syou0139  [伝統の幻想ブン屋]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1629427554 
121. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1628369125 
132. BEGINNER  [GROOVER]    [セガ幕張@千葉県@関東] Score: 1622913972 
168. 8MA  [I love "空想フォレスト"]    [ラッキー八千代店@千葉県@関東] Score: 1609270897 
177. K-FISHER  [GROOVER]    [ソニックビーム松戸店@千葉県@関東] Score: 1604298497 
184. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1600638468 
191. ni-yan  [バーカバーカ！]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1597766194 
212. Sekirei  [第三回天下一音ゲ祭 チャンピオン]    [セガ幕張@千葉県@関東] Score: 1586414453 
258. GFP  [I love Ray series]    [セガ幕張@千葉県@関東] Score: 1555892766 
