1. marirui  [天然ボケ]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1658000000 
8. Hirojixi  [夢現神]    [ポート２４八事店@愛知県@東海] Score: 1657773523 
14. B  [ユニコーン]    [セガ安城@愛知県@東海] Score: 1657373307 
27. HAK0BUNE  [Groove master?]    [タイトーステーション弥富店@愛知県@東海] Score: 1655251586 
50. CATENARY  [名も無い幼い少年]    [コムテックタワー@愛知県@東海] Score: 1652395125 
75. HIKARU  [GOD OF REVIVAL]    [タイトーステーション大須店@愛知県@東海] Score: 1647575926 
81. M2*NI53  [I AM EDM]    [タイトーステーション大須店@愛知県@東海] Score: 1645686266 
103. KUPU  [CERAMIC GOD]    [タイトーステーション弥富店@愛知県@東海] Score: 1639136749 
147. HiBi  [粉々神]    [セガ岡崎@愛知県@東海] Score: 1618359968 
148. NOGUnSO  [Caramel Mocha Master]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1618158497 
167. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1610792167 
212. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1588220910 
246. karinPTV  [I love "Lost Colors"]    [タイトーステーション大須店@愛知県@東海] Score: 1568923499 
249. mrskon-G  [空想神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1568202419 
256. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1560408834 
258. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1559606717 
277. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1545673787 
286. MAID  [練習中]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1537331587 
303. HERM+G  [I love IOSYS]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1528361649 
307. MiKUya  [シンセサイザ ゴッド]    [セガ安城@愛知県@東海] Score: 1526030910 
309. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1525096410 
320. tsuccho  [リズム感の神]    [セガ金山@愛知県@東海] Score: 1515981843 
327. TONEMA  [パンプキン神]    [安城メトロポリス@愛知県@東海] Score: 1512469324 
359. Slug  [Gaiden GOD]    [ステーション２０１@愛知県@東海] Score: 1485107871 
381. pcfx  [I love "カノン"]    [セガ金山@愛知県@東海] Score: 1465513378 
405. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1441773994 
414. Indigo  [I love Xenoa]    [タイトーステーション大須店@愛知県@東海] Score: 1438102631 
417. St.Rhea  [I LOVE ZUNTATA]    [ユーファクトリー安城店@愛知県@東海] Score: 1436557650 
424. Alice  [死ぬがよい。]    [Ｍ’Ｓ　ＰＡＲＫ刈谷店@愛知県@東海] Score: 1431438303 
425. Jacky  [お断リンカちゃん]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1430848136 
461. GGO  [次の曲が始まるのです女神]    [ユーズランド東浦店@愛知県@東海] Score: 1402234961 
483. PRESTIGE  [ヘソ出し！]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1385211983 
526. Y0S1TUN3  [紫電一閃]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1341322269 
