106. LIMIO  [Black God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1646771168 
145. tope-kon  [NEPTUNE]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1629460820 
293. AIR4545K  [忠実な死体]    [セガ水沢@岩手県@東北] Score: 1542216558 
333. NAO  [尊い・・・]    [さんさんらんど大船渡@岩手県@東北] Score: 1516522145 
421. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1440300353 
453. Ject  [太陽神]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1414436696 
486. arx-8  [神術「吸血鬼幻想」]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1387453754 
503. Gram  [ヘリで来た。]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1368874125 
534. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1336810165 
555. SU-3.  [VEGAS GOD]    [サン　シャイン@岩手県@東北] Score: 1319312647 
756. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1195663299 
878. TenCha  [イノベーター]    [ゲームランド盛岡店@岩手県@東北] Score: 1134609752 
955. K.456  [Collapse God]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1093888435 
