15. CROW  [変なTシャツ女神]    [タイトーイン綾瀬@東京都@関東] Score: 1669266302 
18. LUCA  [グルーヴ・リボルバー・ゴッド]    [タイトーステーション町田店@東京都@関東] Score: 1668890966 
55. NEO+ex  [獏]    [ハイテクランド　キューデン@東京都@関東] Score: 1662821889 
57. TyonTa  [INDIGO RESTAURANT]    [タイトーイン綾瀬@東京都@関東] Score: 1661895856 
72. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1657619678 
77. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1657137520 
103. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1649094714 
110. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1644536792 
111. GIL  [グルーヴ百段]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1644507137 
112. Nera  [弱虫神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1643025177 
120. NOLF68  [ALERT]    [セガ池袋ギーゴ@東京都@関東] Score: 1639384572 
139. MIKO  [プリンシパリティ]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1631644349 
148. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1628214202 
149. 9M@NO3  [大阪勢]    [タイトーステーション立川北口店@東京都@関東] Score: 1627907393 
158. masaki  [フルボッコ先生]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1623426988 
161. RAM4  [はじめてのぐるこす]    [タイトーステーション町田店@東京都@関東] Score: 1623221859 
162. Albireo  [LINK PERFECT]    [タイトーステーション秋葉原店@東京都@関東] Score: 1622556084 
178. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1615531858 
180. TAPE  [踊ってみたら七変化！]    [セガ赤羽@東京都@関東] Score: 1614915257 
187. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1612970108 
189. remina  [LINK PERFECT]    [セガ代々木@東京都@関東] Score: 1612135149 
190. NANOHA77  [I love "ETERNAL BLAZE"]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1612001926 
195. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1608815892 
197. FSTK  [Chaos God]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1607932691 
199. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1605958977 
204. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1601800073 
205. MAKURO  [覚醒神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1600461684 
206. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1600193234 
216. GARYU!!!  [グルーヴ六十万段]    [タイトーステーション町田店@東京都@関東] Score: 1595048231 
223. DADDY  [たのしー！]    [セガ秋葉原１号館@東京都@関東] Score: 1590024044 
229. SGK4444  [SATURN]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1585601586 
231. LOCK  [神・漆段]    [セガ池袋ギーゴ@東京都@関東] Score: 1584571835 
235. Eagle.  [つらい]    [タイトーイン綾瀬@東京都@関東] Score: 1582423928 
248. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1576491949 
249. Takato.  [GC2最終スコアタ皇帝]    [ドゥーフルズ@東京都@関東] Score: 1574977679 
257. TOARU  [二代目超シューティング神]    [カプセル永山@東京都@関東] Score: 1570708471 
261. 504939  [Freedom God]    [タイトーステーション池袋西口店@東京都@関東] Score: 1565037568 
265. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1562771841 
276. SHIENA  [世界の傍観者]    [タイトー多摩センター店@東京都@関東] Score: 1553644604 
289. Camilia  [宇宙最速]    [タイトーステーション池袋西口店@東京都@関東] Score: 1545117401 
291. ARuFa  [クロビ勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1544890225 
308. Kn3.inc  [でんぱ神]    [タイトーイン綾瀬@東京都@関東] Score: 1534328361 
320. Yahiga  [練習中]    [Ｈｅｙ@東京都@関東] Score: 1525741203 
330. TSUNAKO.  [無理]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1519105898 
344. Giraty  [しんどい]    [タイトーステーション秋葉原店@東京都@関東] Score: 1499217819 
