1. marirui  [「燃やせ 燃やせ その心を」]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1670000000 
2. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1670000000 
3. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1670000000 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1669986800 
5. zoroakun  [Sakura Master]    [ゲーム　ゴジラ@千葉県@関東] Score: 1669957020 
6. HIHIME  [朱雀]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1669891562 
7. WARNING  [WARNING!!]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1669847955 
8. Hirojixi  [夢現神]    [タイトーステーション弥富店@愛知県@東海] Score: 1669803055 
9. pillow  [年中イキっていこう～]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1669753321 
10. Megumin  [真・一垓段]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1669702545 
11. ERION+++  [天性の弱虫]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1669546357 
12. Shisa  [GLITHCRE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1669430321 
13. DogDept.  [神霊「夢想封印 瞬」]    [アテナ日本橋@大阪府@近畿] Score: 1669356869 
14. B  [ユニコーン]    [セガ安城@愛知県@東海] Score: 1669348485 
15. Hazuneko  [環状線神]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1669297933 
16. CROW  [変なTシャツ女神]    [セガワールド大森@東京都@関東] Score: 1669266302 
17. L.pis*YY  [QLWAGOD]    [ＴＡＣ郡山@福島県@東北] Score: 1669063416 
18. LUCA  [グルーヴ・リボルバー・ゴッド]    [タイトーステーション町田店@東京都@関東] Score: 1668890966 
19. mikan?  [あのね…実はわたし、女神なんだ…?]    [ラウンドワン青森店@青森県@東北] Score: 1668873150 
20. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1668868906 
21. PoCkRo.B  [青森勢]    [スペースファンタジーインフィニ@青森県@東北] Score: 1668759780 
22. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1668399878 
23. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1668247271 
24. 2K-DeW  [God noir forever.]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1668048108 
25. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション弥富店@愛知県@東海] Score: 1667978760 
26. SKYMAN  [2112410403 2504434504]    [ラウンドワン高知店@高知県@四国] Score: 1667973266 
27. BL4CK3M0  [アザレアの神]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1667706086 
28. Y*xx-!?  [裏ボス]    [開放倉庫　米原店@滋賀県@近畿] Score: 1667515540 
29. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1667373571 
30. HAK0BUNE  [Groove master?]    [タイトーステーション弥富店@愛知県@東海] Score: 1667303884 
31. MiroT  [Lethal Dose God]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1667133207 
32. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1667105207 
33. MELLROCK  [Ｓ＋級うどん]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1666999121 
34. GUREKO+  [魔法少女神]    [ロックンボウル@秋田県@東北] Score: 1666844480 
35. QWERTZ  [ouroboros master]    [ビーカム松森店@宮城県@東北] Score: 1666086671 
36. YUKIMARU  [雷神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1665990172 
