3. zoroakun  [God recover run]    [タイトーイン綾瀬@東京都@関東] Score: 1679957020 
8. masaki  [GHOST]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1679411025 
11. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1678890966 
30. CROW  [変なTシャツ女神]    [セガワールド大森@東京都@関東] Score: 1673262469 
73. NEO+ex  [獏]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1662821889 
77. TyonTa  [INDIGO RESTAURANT]    [タイトーイン綾瀬@東京都@関東] Score: 1661895856 
87. Ryukl*  [しわ神]    [セガ池袋ギーゴ@東京都@関東] Score: 1659461900 
95. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1657619678 
109. GIL  [グルーヴ百段]    [タイトーステーション池袋西口店@東京都@関東] Score: 1652629740 
115. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1649094714 
120. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1644567086 
123. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1643265933 
139. MIKO  [プリンシパリティ]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1636571099 
163. 9M@NO3  [長野勢]    [プレイロットジョイ@東京都@関東] Score: 1627909217 
167. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1625550018 
174. Tsukasa  [K.I.N.G]    [アムネット五反田店@東京都@関東] Score: 1623435753 
178. remina  [LINK PERFECT]    [セガ代々木@東京都@関東] Score: 1622559173 
179. Albireo  [LINK PERFECT]    [タイトーステーション秋葉原店@東京都@関東] Score: 1622556084 
186. Takato.  [GC2最終スコアタ皇帝]    [カプセル永山@東京都@関東] Score: 1618994683 
191. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1616935068 
195. TAPE  [踊ってみたら七変化！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1615222174 
197. NANOHA77  [I love "ETERNAL BLAZE"]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1612001926 
199. MAKURO  [金属バット神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1611456689 
203. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1608815892 
205. FSTK  [Chaos God]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1607932691 
210. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1606124931 
218. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1601800073 
219. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1600193234 
225. GARYU!!!  [グルーヴ六十万段]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1595111646 
229. DADDY  [たのしー！]    [セガ秋葉原１号館@東京都@関東] Score: 1590024044 
