51. NEGAME  [脱法神]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1675095854 
92. tsnk  [グルーヴ八十万段]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1665378929 
94. natsume.  [I love "SPARKLING FUTURE"]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1665143281 
110. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1658914576 
147. Naka.F  [死ぬがよい。]    [最後の５ドル@福岡県@九州] Score: 1641766684 
154. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1637863915 
157. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1636278499 
180. ZODY  [癒しの歌姫]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1628342576 
196. Takashi#  [Good Night, Bad God.]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1619492952 
206. HASSY  [Ｓ級ワルキューレ]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1614540252 
279. MONIKA  [無理]    [ＰＥＰ魚町@福岡県@九州] Score: 1560582200 
309. SOACH  [そんなんARIKA]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1542949763 
328. GACHAPIN  [行脚王]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1526017303 
342. ADORA  [STORM CAUSER]    [楽市楽座イオンモール福岡伊都店@福岡県@九州] Score: 1513465447 
378. TAPIOKA  [GOD]    [ラウンドワン博多半道橋店@福岡県@九州] Score: 1483552990 
396. SingleE  [不可能へ挑戦し続ける者]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1465462358 
422. YAYOI  [長崎勢]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1449252719 
431. SyaLLrip  [ドリームパーティーゴッド]    [楽市楽座行橋店@福岡県@九州] Score: 1441274099 
503. R-3KAN  [つらい]    [プラサカプコン直方店@福岡県@九州] Score: 1382968792 
521. Mallulu*  [超COOL!]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1360470995 
537. Giravanz  [I love "SPACE INVADERS 2003"]    [Ｇ－ＳＴＡＧＥ小倉@福岡県@九州] Score: 1345918433 
551. se@3156  [「パッパッパラッパパパラパ」]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1333881301 
674. muku  [FAIRY]    [タイトーＦステーション博多店@福岡県@九州] Score: 1252824144 
698. EVA  [ガンスト愛殿堂入り]    [タイトーＦステーション博多店@福岡県@九州] Score: 1237460551 
785. w@  [キャッチ・ザ・ハート]    [ＳＥＧＡＡＲＥＮＡ中間@福岡県@九州] Score: 1185800438 
802. Ryusuke  [WARNING!!]    [タイトーＦステーション博多店@福岡県@九州] Score: 1178260507 
867. KiS@Me  [OMAKENO Kamisama]    [ＳＥＧＡＡＲＥＮＡ中間@福岡県@九州] Score: 1145297725 
918. KUSINADA  [★★★神]    [楽市楽座黒崎店@福岡県@九州] Score: 1117479871 
944. Radait  [「一緒に帰ろう」]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1106725158 
984. 39COSAV  [S+級長ネギ]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1079984200 
999. JeF051  [全都道府県完全制覇]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1072267186 
