1. marirui  [Ｓ級幼稚園児]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1687000000 
2. K.I.  [第四回天下一音ゲ祭 ファイナリスト]    [セガイオンモール岡山@岡山県@中国] Score: 1687000000 
3. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1687000000 
4. YUKIMARU  [雷神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1686999164 
5. KEI  [エストポリス神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1686987685 
6. zoroakun  [ケルベロス]    [ゲームパドック＋１古河店@茨城県@関東] Score: 1686957998 
7. HIHIME  [朱雀]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1686892782 
8. Hirojixi  [夢現神]    [タイトーステーション大須店@愛知県@東海] Score: 1686848476 
9. Megumin  [カメ]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1686707247 
10. ERION+++  [天性の弱虫]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1686576353 
11. masaki  [SPIRIT]    [タイトーステーション上野アメ横@東京都@関東] Score: 1686435463 
12. Shisa  [だってだってだって女神]    [セガ霞ヶ浦@茨城県@関東] Score: 1686430321 
13. DogDept.  [オツキミ神]    [ラウンドワン東淀川店@大阪府@近畿] Score: 1686387728 
14. Hazuneko  [環状線神]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1686373362 
15. B  [マーメイド ゴッデス]    [セガ安城@愛知県@東海] Score: 1686354435 
16. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1686009364 
17. Takato.  [GC2最終スコアタ皇帝]    [タイトーＦステーション南大沢店@東京都@関東] Score: 1685994683 
18. mikan?  [あのね…実はわたし、女神なんだ…?]    [ラウンドワン青森店@青森県@東北] Score: 1685903285 
19. PoCkRo.B  [青森勢]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1685847599 
20. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1685808484 
21. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1685262410 
22. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1685070977 
23. NARSAN  [GAME MUSIC TRIANGLER]    [新宿プレイランドカーニバル@東京都@関東] Score: 1684969199 
24. SKYMAN  [Crazy ∞ Goddess]    [スターダスト@岡山県@中国] Score: 1684951008 
25. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1684890005 
26. BL4CK3M0  [アザレアの神]    [ラウンドワン京都伏見店@京都府@近畿] Score: 1684694912 
27. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1684663914 
28. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1684539656 
29. OKA-MH  [店内SSS CLASS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1684418570 
30. HAK0BUNE  [「馬鹿じゃないの？」]    [タイトーステーション大須店@愛知県@東海] Score: 1684392459 
31. MiroT  [ミュージック・リボルバー・ゴッド]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1684206249 
32. GUREKO+  [DX超性能フルメタル神]    [ロックンボウル@秋田県@東北] Score: 1683940578 
33. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1683736925 
34. QWERTZ  [文武両道]    [ビーカム松森店@宮城県@東北] Score: 1683344923 
35. Inver  [グルーヴ六段]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1682931213 
36. LEAF  [Ｓ＋級たい焼き]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1682645574 
37. Shikyo  [Ever Free God]    [キャッツアイ麻生店@北海道@北海道] Score: 1682347871 
38. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1682283226 
39. juni  [パンダ神]    [セガ鳥取@鳥取県@中国] Score: 1682220908 
40. NEGAME  [ARTIST]    [Ｇ－ＳＴＡＧＥ小倉@福岡県@九州] Score: 1682082446 
41. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1681952343 
42. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1681924772 
43. MHRJ  [マトリョシカ神]    [タイトーステーション大宮店@埼玉県@関東] Score: 1681859696 
44. WARNING  [I love "五次元式エチュード～妖魔との戦い～"]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1681847978 
45. SCOTT  [春夏秋冬の神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1681845288 
46. KenWong  [しわ神]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1681807870 
47. SMP  [導きのARIA]    [ナムコランド広島店@広島県@中国] Score: 1681783440 
48. LEE  [I love "君色サブリミナル"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1681630273 
49. K.x*N3  [God recover run]    [ＯＫ－コーラル@新潟県@信越] Score: 1681551333 
50. CATENARY  [鵺]    [コムテックタワー@愛知県@東海] Score: 1681388337 
51. tsnk  [しわ大王]    [ジーカム和白@福岡県@九州] Score: 1681310062 
