119. tope-kon  [NEPTUNE]    [ラウンドワン盛岡店@岩手県@東北] Score: 1662138230 
294. AIR4545K  [I love "OMAKENO Stroke"]    [ラウンドワン盛岡店@岩手県@東北] Score: 1556954953 
332. NAO  [みっくみくにしてやんよ～！]    [さんさんらんど大船渡@岩手県@東北] Score: 1528159685 
389. NULLPE  [練習中]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1480993118 
409. JOREN3rd  [Help me, KAMISAMAAAAAA!!]    [さんさんらんど大船渡@岩手県@東北] Score: 1461755632 
465. Ject  [三代目スコアタ大公]    [ラウンドワン盛岡店@岩手県@東北] Score: 1418485830 
485. arx-8  [私のことは殿下と呼びたまえ！]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1401344829 
512. Gram  [ハヤブサ]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1375343190 
534. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1358665081 
552. SU-3.  [Europa God]    [みらい夢　津志田店@岩手県@東北] Score: 1337246142 
769. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1199396451 
898. TenCha  [わんこそば]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1135575194 
962. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1101222401 
