48. Shikyo  [Quartet God]    [キャッツアイ麻生店@北海道@北海道] Score: 1682408110 
60. LEE  [I love "君色サブリミナル"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1681648751 
79. cycla.  [電子の歌姫]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1676532237 
112. Sasuke  [救世主]    [タイトーイオンモール釧路昭和店@北海道@北海道] Score: 1666673092 
115. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1665580445 
273. Tokky  [MY FIRST GOD]    [ソユーゲームフィールド発寒店@北海道@北海道] Score: 1574859737 
287. BIS(9)  [すっごーい！]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1560390817 
294. CHIK.WAV  [七福神]    [タイトーステーション千歳店@北海道@北海道] Score: 1557707914 
326. SCP-106  [I love "クラブ＝マジェスティ"]    [キャッツアイ篠路店@北海道@北海道] Score: 1533113679 
335. Yui.  [右肩の神]    [ギャラクシーゲート函館@北海道@北海道] Score: 1527329081 
348. +HAKASE+  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1513641319 
352. COACH  [中級者]    [キャッツアイ新札幌店@北海道@北海道] Score: 1510212630 
389. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1481535040 
434. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1448439807 
458. Toma9/  [無彩色神]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1426269655 
506. AYATAKA  [継ぎ接ぎ狂った大王]    [キャッツアイ手稲店@北海道@北海道] Score: 1389006081 
532. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1360044382 
604. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1307740475 
617. tzw10430  [S級にんじん]    [キャッツアイ新札幌店@北海道@北海道] Score: 1300676674 
670. KUROBARA  [奇術「エターナルミーク」]    [ビッグバン釧路@北海道@北海道] Score: 1261445977 
676. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1257618246 
691. SHINDEN  [世界事情ゴッド]    [プラボ札幌西町店@北海道@北海道] Score: 1244894239 
720. Oriens  [JAN, 2018 TOP RANKER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1228944159 
821. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1172758950 
862. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1152695901 
863. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1152009429 
879. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1144548228 
909. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1132203210 
924. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
927. *SOHI***  [「荒ぶる戦士」]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1118734688 
946. MoyaC.  [I love ATTACK THE MUSIC]    [ラウンドワン函館店@北海道@北海道] Score: 1109938522 
955. ++CaL+/  [Ｓ＋級からあげ]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1105393056 
956. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1104859460 
968. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
985. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1088880857 
998. S@KRAMnT  [真・一億段]    [タイトーステーション千歳店@北海道@北海道] Score: 1077465974 
