3. newxh  [メリークリスマス！]    [セガ神楽坂@東京都@関東] Score: 1687000000 
6. NARSAN  [GAME MUSIC TRIANGLER]    [プレイロットジョイ@東京都@関東] Score: 1686973195 
11. pillow  [「ただただ　魅了されている！」]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1686777222 
15. masaki  [SPIRIT]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1686462198 
19. LUCA  [竹林のルーガルー]    [タイトーステーション秋葉原店@東京都@関東] Score: 1686396671 
22. Takato.  [GC2最終スコアタ皇帝]    [タイトー多摩センター店@東京都@関東] Score: 1685994683 
24. PoCkRo.B  [うー！がぉー！]    [タイトーステーション立川北口店@東京都@関東] Score: 1685954456 
29. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1685070977 
33. BL4CK3M0  [アザレアの神]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1684738545 
55. PADANTE  [歌うショップキーパー]    [タイトーステーション池袋西口店@東京都@関東] Score: 1681952343 
63. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1681162670 
77. CROW  [無理]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1677268915 
87. Ryukl*  [絶対思想啓蒙局神]    [セガ池袋ギーゴ@東京都@関東] Score: 1674989265 
97. TyonTa  [腹ぺこ]    [タイトーイン綾瀬@東京都@関東] Score: 1672861980 
109. 9M@NO3  [ネトゲ廃人先生]    [タイトーステーション立川北口店@東京都@関東] Score: 1668901371 
112. NEO+ex  [獏]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1666784292 
117. NORIp  [パンダ神]    [Ｈｅｙ@東京都@関東] Score: 1665511687 
119. GIL  [グルーヴ百段]    [タイトーステーション池袋西口店@東京都@関東] Score: 1663485989 
125. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1661575944 
132. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1657619678 
133. RETurn  [二代目超シューティング神]    [Ｈｅｙ@東京都@関東] Score: 1656888226 
145. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1651868121 
151. MIKO  [SUN]    [セガワールド大森@東京都@関東] Score: 1647524637 
155. BEGINNER  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1645833255 
163. Tsukasa  [K.I.N.G]    [アムネット五反田店@東京都@関東] Score: 1642620920 
174. MINE.  [アキバ神]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1638196803 
179. DNOO  [初代DREAMER]    [セガワールドアルカス@東京都@関東] Score: 1636485738 
186. TOARU  [RAY FORCE GOD]    [タイトーステーション立川北口店@東京都@関東] Score: 1632772279 
189. Albireo  [LINK PERFECT]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1632535274 
190. TAPE  [踊ってみたら七変化！]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1632083496 
195. remina  [無理]    [セガ代々木@東京都@関東] Score: 1629893787 
201. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1626757105 
202. NANOHA77  [I love "ETERNAL BLAZE"]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1625882219 
204. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1625259527 
208. MAKURO  [17K GOD]    [タイトーステーション新宿東口店@東京都@関東] Score: 1621711162 
215. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1618679521 
224. PICO  [羅刹神]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1613146569 
227. GARYU!!!  [グルーヴ七十万段]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1612002577 
228. 27  [すっごーい！]    [ラウンドワン町田店@東京都@関東] Score: 1611899869 
230. Y.T0302  [うー！がぉー！]    [セガ池袋ギーゴ@東京都@関東] Score: 1611235769 
232. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1608815892 
236. LOCK  [神・玖段]    [セガ池袋ギーゴ@東京都@関東] Score: 1603568588 
237. MARISA  [死神]    [ラウンドワン池袋店@東京都@関東] Score: 1602977195 
238. Rokuku  [フィフス・フォース]    [タイトーステーション町田店@東京都@関東] Score: 1602782328 
241. SGK4444  [「パッパッパラッパパパラパ」]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1601900841 
250. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1593518295 
253. POTETO  [戦車女神]    [タイトーステーション秋葉原店@東京都@関東] Score: 1591742192 
259. Eagle.  [遠征]    [タイトーステーション池袋西口店@東京都@関東] Score: 1585346624 
271. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1576683645 
273. SHIENA  [世界の傍観者]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1575417026 
284. W.F.184  [I AM EDM]    [Ｈｅｙ@東京都@関東] Score: 1561584743 
310. ARuFa  [クロビ勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1548767091 
315. Kn3.inc  [でんぱ神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1544148877 
317. Yahiga  [練習中]    [Ｈｅｙ@東京都@関東] Score: 1543370232 
343. Giraty  [「幼女の世界」]    [タイトーステーション秋葉原店@東京都@関東] Score: 1519727239 
348. komachi  [死神]    [セガ秋葉原@東京都@関東] Score: 1513909108 
362. T.naturu  [空想神]    [セガワールド船堀@東京都@関東] Score: 1500962361 
371. Wing  [GROOVER]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1497623657 
385. EJ@765  [S級真田信之]    [セガワールドアルカス@東京都@関東] Score: 1483705105 
409. H.MINATO  [付喪神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1466582420 
410. MBK-GIL  [隊長さん]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1461775969 
413. Indigo  [「I won't let you go」]    [タイトーステーション上野アメ横@東京都@関東] Score: 1461502571 
414. KARED  [完全なる墨染の神]    [セガワールドアルカス@東京都@関東] Score: 1461414774 
423. ODIN:X  [麒麟]    [ラウンドワン吉祥寺店@東京都@関東] Score: 1455102038 
431. AKIBOSHI  [ニャスニャス！]    [タイトーステーション立川北口店@東京都@関東] Score: 1449942369 
448. 03312345  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1434353169 
457. SiroKuro  [「本当の僕はどこに行ったっけ?」]    [キャロム東大和店@東京都@関東] Score: 1427697034 
460. GrizAil*  [え？あぁ、神。]    [プレイロットジョイ@東京都@関東] Score: 1424678289 
462. Skeleton  [岐阜勢]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1422448327 
465. HERI  [第四回天下一音ゲ祭 ファイナリスト]    [タイトーステーション立川北口店@東京都@関東] Score: 1418850686 
466. TYA-HAN  [Ｓ＋級チャーハン]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1417915042 
473. RYO-RYO-  [My Voice is Master.]    [タイトーステーション池袋西口店@東京都@関東] Score: 1411956355 
487. 708  [宮城勢]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1401486889 
499. Rainie02  [Ｓ級幼稚園児]    [タイトーステーション池袋西口店@東京都@関東] Score: 1393999427 
500. NEB  [眠れる王]    [セガワールドアルカス@東京都@関東] Score: 1393932311 
509. Lunar.  [九尾]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1387866469 
520. SftCmdQ  [お断ユメちゃん！]    [タイトーステーション上野アメ横@東京都@関東] Score: 1367864161 
522. ARIKA  [「あのね、もっといっぱい舞って頂戴」]    [タイトーステーション立川北口店@東京都@関東] Score: 1365949651 
538. ROW  [駆け出し]    [セガ赤羽@東京都@関東] Score: 1355702838 
540. KATAKURI  [アドリブ村長]    [Ｈｅｙ@東京都@関東] Score: 1352640764 
546. DHAL  [I love IOSYS]    [Ｈｅｙ@東京都@関東] Score: 1342578230 
551. BBC  [GROOVER]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1339123599 
552. ton_matu  [草の根妖怪ネットワーク]    [タイトーステーション池袋西口店@東京都@関東] Score: 1337613961 
557. Soahc@NN  [「僕は幸せだ。」]    [セガ東京ドームシティ@東京都@関東] Score: 1333210350 
578. TSUBASA  [超COOL!]    [タイトーステーション秋葉原店@東京都@関東] Score: 1319858796 
581. Lost@D  [GROOVER]    [アムネット五反田店@東京都@関東] Score: 1319547926 
587. RETSU  [Ever Free God]    [セガワールドアルカス@東京都@関東] Score: 1315656783 
590. Yuzuha  [GROOVER]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1314730649 
595. KOU  [I love t+pazolite]    [ラウンドワンＤＣ東京プラザ店@東京都@関東] Score: 1311978686 
602. !  [ドーモ、グルーヴァー=サン…]    [Ｈｅｙ@東京都@関東] Score: 1309148935 
605. UMM  [I love "Hello 31337"]    [タイトーステーション国分寺店@東京都@関東] Score: 1307171653 
619. TAKAHIRO  [URBAN MASTER]    [Ｈｅｙ@東京都@関東] Score: 1297921617 
626. Kamui.  [悪ノ女神]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1291439114 
634. HAYATE  [東方六楽抄]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1284294170 
637. Caper  [なにもかも逆さまな女神]    [セガワールド府中@東京都@関東] Score: 1283087279 
646. kt_flcl  [星の歌姫]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1275734701 
661. KOTA-2  [EXTREME]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1266051943 
664. CHEN.  [労働反対先生]    [エムエムランド@東京都@関東] Score: 1264670449 
669. ACES  [S+級マグロ]    [プレイロットジョイ@東京都@関東] Score: 1261753885 
673. .torch  [女々しい大王]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1260060739 
681. ruruki  [無理]    [タイトーイン綾瀬@東京都@関東] Score: 1250466775 
682. Rotter.  [My Voice is God.]    [タイトーステーション立川北口店@東京都@関東] Score: 1249983393 
685. Shiba  [メカクシ団]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1248892636 
716. DANDANDA  [Tell Your God]    [タイトーステーション池袋西口店@東京都@関東] Score: 1232237353 
731. rm+-rf+/  [ふわっふわ15歳]    [ｎａｍｃｏ王子サンスクエア店@東京都@関東] Score: 1223044015 
732. Hiro  [I love "Blue Destiny Blue"]    [セガワールド船堀@東京都@関東] Score: 1222761600 
738. shimochi  [I love ロンメイ]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1218478417 
740. KRNK  [「未熟な暴れ者」]    [タイトーステーション町田店@東京都@関東] Score: 1218078276 
744. Silly3  [がんばユメちゃん]    [ラウンドワン池袋店@東京都@関東] Score: 1215184169 
746. CHAOS  [Chaos God]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1212182071 
750. 273  [村人A]    [セガワールド大森@東京都@関東] Score: 1209478331 
751. HiBiKi  [Ｓ＋級コーヒー]    [セガ赤羽@東京都@関東] Score: 1209301745 
761. No7mo  [ドーモ、グルーヴァー=サン…]    [エムエムランド@東京都@関東] Score: 1202825746 
762. wirry+EX  [アドリブ村長]    [ラウンドワン池袋店@東京都@関東] Score: 1202307216 
763. URX-OD.Z  [旅人]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1202000953 
765. csmS2000  [Ｓ＋級おでん]    [タイトーステーション立川北口店@東京都@関東] Score: 1201691108 
768. KURORO*  [S級上杉謙信]    [タイトーステーション国分寺店@東京都@関東] Score: 1199826199 
770. GOMAmugi  [村人A]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1199405335 
772. HUURAi  [I LOVE バブルン]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1197833758 
791. subtle_k  [サイエンスゴッド]    [タイトーステーション池袋西口店@東京都@関東] Score: 1186033750 
794. ARUSU()  [GOD]    [タイトーステーション秋葉原店@東京都@関東] Score: 1185732595 
795. HIROMU  [両生類の先生]    [タイトーステーション池袋西口店@東京都@関東] Score: 1184295119 
