53. Shikyo  [VELVET GOD]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1690338903 
69. LEE  [I love "Bad Apple!! feat. nomico"]    [キャッツアイ恵庭店@北海道@北海道] Score: 1688593759 
113. Sasuke  [犬神]    [ビッグバン釧路@北海道@北海道] Score: 1679288914 
123. chris  [Detonator God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1674253950 
287. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1575821258 
300. BIS(9)  [すっごーい！]    [ディノスパークノルベサ@北海道@北海道] Score: 1567461740 
307. CHIK.WAV  [七福神]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1564199591 
337. SCP-106  [でんぱ神]    [キャッツアイ篠路店@北海道@北海道] Score: 1538026085 
345. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1527341905 
352. COACH  [忍　殺]    [ラウンドワン函館店@北海道@北海道] Score: 1520183142 
355. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1518354663 
356. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1518153976 
402. Ayahi  [I love "Five to Seven"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1483513582 
440. Syu  [無理]    [ギャラクシーゲート函館@北海道@北海道] Score: 1451089545 
465. Toma9/  [無彩色神]    [キャッツアイ麻生店@北海道@北海道] Score: 1433145762 
488. AYATAKA  [眠れる王]    [キャッツアイ手稲店@北海道@北海道] Score: 1406753015 
538. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1362151068 
601. tzw10430  [S+級カニカマ]    [キャッツアイ新札幌店@北海道@北海道] Score: 1317681382 
619. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1307740475 
641. Kamui.  [悪ノ女神]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1292424678 
685. KUROBARA  [奇術「エターナルミーク」]    [ビッグバン釧路@北海道@北海道] Score: 1263423280 
691. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1257672338 
693. SHINDEN  [全知全能の神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1256977674 
706. Oriens  [God's Blood]    [ビックバン滝川@北海道@北海道] Score: 1244908450 
750. Shivaty  [戦車女神]    [ギャラクシーゲート函館@北海道@北海道] Score: 1220621893 
872. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1156486836 
878. KANONE  [正体不明の男]    [ラウンドワン函館店@北海道@北海道] Score: 1152916574 
897. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1145450640 
921. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1132203210 
933. *SOHI***  [「荒ぶる戦士」]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1121456067 
941. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
956. MoyaC.  [I love ATTACK THE MUSIC]    [ギャラクシーゲート函館@北海道@北海道] Score: 1112609318 
966. Bump  [サドマミゴッド]    [キャッツアイ篠路店@北海道@北海道] Score: 1106699588 
969. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1105393056 
974. N@  [I love "東方音銃夢"]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1102324423 
985. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
993. S@KRAMnT  [真・十億段]    [タイトーステーション千歳店@北海道@北海道] Score: 1091897757 
997. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1088880857 
