133. tope-kon  [NEPTUNE]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1669426496 
294. AIR4545K  [日本勢]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1569554896 
328. NAO  [EXTREME]    [さんさんらんど大船渡@岩手県@東北] Score: 1544589038 
399. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1485736625 
403. JOREN3rd  [Marry me, King]    [ラウンドワン盛岡店@岩手県@東北] Score: 1481604311 
483. arx-8  [「なんで？？？」]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1414625742 
516. Gram  [ハヤブサ]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1385250645 
522. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1376360816 
569. SU-3.  [Europa God]    [みらい夢　津志田店@岩手県@東北] Score: 1337282146 
783. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1199396451 
912. TenCha  [りんご]    [ラウンドワン盛岡店@岩手県@東北] Score: 1137344709 
963. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1107857379 
