16. ERION  [cyanine master]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1740435494 
51. LIMIO  [未確認幻想飛行少女]    [プラボ宇都宮店@栃木県@関東] Score: 1708573868 
154. Mavis.V  [水中だと力が増す人魚]    [ファンタジーパーク@栃木県@関東] Score: 1669479011 
173. Law  [天体観測神]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1660589414 
406. Indigo  [永遠の魔法少女未満]    [セガワールド小山@栃木県@関東] Score: 1487828823 
467. MANNNNK  [MY FIRST GOD]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1436694958 
504. LOTUS  [電脳紀行神]    [セガ今市@栃木県@関東] Score: 1402532925 
581. prn  [尊い・・・]    [タイトーＦステーション小山店@栃木県@関東] Score: 1334316907 
722. 1COY  [とり天]    [ｎａｍｃｏフェドラＰ＆Ｄ佐野店@栃木県@関東] Score: 1240935414 
738. TRACE  [Blaze God]    [キラキラＡｓｏｂｏｘ宇都宮店@栃木県@関東] Score: 1230510071 
741. Esuka  [ヴァンパイア姫]    [セガ今市@栃木県@関東] Score: 1229917514 
832. KOU  [さぁ…ゲームスタートだ！]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1177330693 
951. KaraKure  [夢想神]    [セガ今市@栃木県@関東] Score: 1116809735 
997. Vidofnir  [しんどい]    [プラボ宇都宮店@栃木県@関東] Score: 1093123661 
