85. Hirojixi  [夢現神]    [タイトーステーション浜松店@静岡県@東海] Score: 1689918750 
138. ALINE  [うー！がぉー！]    [タイトーステーション浜松店@静岡県@東海] Score: 1672452422 
155. Shougo99  [神・初段]    [ラウンドワン浜松店@静岡県@東海] Score: 1666913284 
263. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1591899285 
268. Alokam  [I love "LIMIT BURST"]    [タイトーステーション浜松店@静岡県@東海] Score: 1588742725 
274. shinobu  [I LOVE EDM]    [プラサカプコン志都呂店@静岡県@東海] Score: 1583879745 
308. Cocoa.*  [HARDCORE SYNDROME]    [セガワールド静岡@静岡県@東海] Score: 1562825117 
333. M  [GROOVER]    [タイトーステーション浜松店@静岡県@東海] Score: 1534747051 
426. Yize  [忍　殺]    [サードプラネット富士店@静岡県@東海] Score: 1462023046 
435. WATTA  [四季の最高裁判長]    [タイトーステーション浜松店@静岡県@東海] Score: 1454646321 
450. KU-NERU  [Ｓ＋級パスタ]    [サードプラネット焼津店@静岡県@東海] Score: 1438491727 
461. VOUZZZZZ  [排除する！]    [ポート２４　浜松店@静岡県@東海] Score: 1431204764 
599. Roku  [ルーキー]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1310273328 
666. HL  [LINK LINK KING]    [セガワールド静岡@静岡県@東海] Score: 1274269919 
771. TAKACHAN  [アルカノイドvsインベーダーキング]    [セガワールドサントムーン@静岡県@東海] Score: 1204845271 
792. PON-05  [GROOVER]    [ジョイランド　アミューズ諏訪@静岡県@東海] Score: 1187992217 
803. JOKER  [夢の支配者]    [カプコンＭＡＲＫ　ＩＳ静岡店@静岡県@東海] Score: 1184992533 
855. Lagphim  [緑眼のジェラシー]    [ラウンドワン浜松店@静岡県@東海] Score: 1160316452 
877. Kanon  [練習中]    [ラウンドワン富士店@静岡県@東海] Score: 1150606154 
965. HAYASHI  [神奈川勢]    [タイトーＦステーション静岡店@静岡県@東海] Score: 1101570542 
