50. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1737301543 
55. 9JO-NEGI  [有　罪]    [ラッキー八千代店@千葉県@関東] Score: 1735658742 
77. Syou0139  [永遠の巫女]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1723030293 
92. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1715272475 
107. LOLME  [千葉勢]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1705892498 
162. ni-yan  [伝統の幻想ブン屋]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1686236394 
175. mokotaso  [LINK PERFECT]    [ビバホーム新習志野店２階@千葉県@関東] Score: 1680730226 
191. Ao8maMio  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [ソニックビーム松戸店@千葉県@関東] Score: 1672092615 
210. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1656427305 
222. 8MA  [I love "空想フォレスト"]    [ラッキー八千代店@千葉県@関東] Score: 1649340359 
234. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1640973228 
266. takane01  [イノベーター]    [タイトーステーション柏店@千葉県@関東] Score: 1605239403 
292. Giraty  [I love "アンノウン・マザーグース"]    [セガ幕張@千葉県@関東] Score: 1586289874 
336. LMTAK  [Ever Free King]    [アミューズメントエース市川店@千葉県@関東] Score: 1551197962 
341. R#(9)  [LINK PERFECT]    [ソユーゲームフィールド木更津店@千葉県@関東] Score: 1545460843 
364. Wing  [GROOVER]    [ソニックビーム松戸店@千葉県@関東] Score: 1521871524 
376. TKK  [無理]    [キャッツアイ八千代店@千葉県@関東] Score: 1516215985 
385. Twilight  [四天王奥義「三歩必殺」]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1509515476 
405. lUY18>>  [Keep the Fujin]    [タイトーステーション柏店@千葉県@関東] Score: 1494730535 
421. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1481422248 
426. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1478592541 
429. MBK-GIL  [隊長さん]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1476001042 
445. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション船橋店@千葉県@関東] Score: 1459584318 
460. TYA-HAN  [Ｓ＋級チャーハン]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1444304307 
483. WARLOCK  [羊神]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1426343623 
512. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1393424427 
517. Kagerou  [子供じゃないも～ん！]    [セガワールド成田@千葉県@関東] Score: 1392181110 
568. HIYOKU  [初代ELITE]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1346634792 
586. MIYATAKE  [ユメミスト]    [千葉レジャーランド稲毛店@千葉県@関東] Score: 1334255557 
593. teiramic  [Kick It Out Master]    [茂原ミナミボウル@千葉県@関東] Score: 1330310970 
619. SABAMISO  [ヘリで来た。]    [セガワールド成田@千葉県@関東] Score: 1313875149 
637. TAKAHIRO  [URBAN MASTER]    [ワンダーヴュー成田店@千葉県@関東] Score: 1304975413 
644. Triage-X  [エース]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1302024775 
683. Sugi  [例大祭神]    [タイトーステーション柏店@千葉県@関東] Score: 1271833462 
690. EDAMAME  [グルーヴ皆伝]    [セガワールド旭@千葉県@関東] Score: 1267301411 
710. -----0=0  [アンノウン・マスター]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1249875049 
717. Toki  [でんぱ神]    [ラウンドワン市原店@千葉県@関東] Score: 1246097946 
776. IM  [ドウニデモ＝ナ＝レ(76)]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1209308147 
791. Phone@J  [Ever Free God]    [ラッキー木更津店@千葉県@関東] Score: 1198117923 
804. ALBERT01  [小槌「お前が大きくなあれ」]    [鉄腕２４　稲毛長沼店@千葉県@関東] Score: 1188580921 
838. chi.ro  [星の歌姫]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1175143990 
842. YAIBA  [不可能へ挑戦する者]    [モリシア　アミューズパーク@千葉県@関東] Score: 1173904028 
847. Ganghtoo  [わんこそば]    [鉄腕２４　稲毛長沼店@千葉県@関東] Score: 1170418802 
849. ONGR  [アイスクリーム神]    [ゲームチャリオット五井店@千葉県@関東] Score: 1169944398 
864. NEXUS  [トリノコシティ・マスター]    [セガ幕張@千葉県@関東] Score: 1163942554 
891. negigamo  [Shadow God]    [セガ幕張@千葉県@関東] Score: 1149832574 
905. Retoree  [あたいったら最強ね！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1142466439 
989. JeF051  [全都道府県完全制覇]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1097459864 
1000. Mo  [噂の美少女探偵]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1090611569 
