1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1763000000 
2. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1762987633 
3. zoroakun  [Sakura God]    [タイトーイン綾瀬@東京都@関東] Score: 1762894110 
4. HIHIME  [朱雀]    [JUMBO GAME@Hong Kong@海外] Score: 1762858480 
5. DIYUSI  [パワー]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1762728961 
6. Hatuneko  [環状線神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1762311926 
7. ERION  [I love "グルーヴ・リボルバー"]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1761459926 
8. akariki  [わぁい神様大好き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1761176851 
9. SKYMAN  [Starlight Road God]    [スターダスト@岡山県@中国] Score: 1760816308 
10. BLACKemo  [アザレアの神]    [プレイランドキング円町店@京都府@近畿] Score: 1760539885 
11. HAKOBUN3  [Groove master? -xiRemix-]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1760296492 
12. TaNiTi  [I love "Black MInD"]    [ナムコランド広島店@広島県@中国] Score: 1760051727 
13. MiroT  [全知全能の神]    [ファンタジードーム八戸@青森県@東北] Score: 1759541695 
14. QWERTZ__  [Frey's King]    [ビーカム松森店@宮城県@東北] Score: 1759157929 
15. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1758001606 
16. 9tan*3s0  [九龍神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1757973542 
17. Youh  [Crimson Phoenix God]    [セガ霞ヶ浦@茨城県@関東] Score: 1757352407 
18. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1757078097 
19. *_MIKU_*  [MikuMikuGod]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1756609898 
20. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1756435328 
21. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1754504319 
22. LEPHIA  [LINK PERFECT]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1753056032 
23. GUREKO++  [JUMPEE! GOD!]    [ソユーゲームフィールド御所野店@秋田県@東北] Score: 1752760417 
24. Ryuki  [Crimson Phoenix God]    [セガ池袋ギーゴ@東京都@関東] Score: 1752003034 
25. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1752000000 
26. marirui  [カーナビ大王]    [タイトーステーション大須店@愛知県@東海] Score: 1752000000 
27. cosmic  [春夏秋冬の神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1751880617 
28. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1751679006 
29. Fractale  [排除する！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1751422634 
30. HIKARU  [Starlight Road God]    [キングジョイ@愛知県@東海] Score: 1751083990 
31. KizunaAI  [2.5次元伝説！]    [ロックンボウル@秋田県@東北] Score: 1750659600 
32. B  [XYZ God]    [セガ安城@愛知県@東海] Score: 1750242603 
33. antisan  [白龍]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1749485220 
34. FRED  [漆黒の堕天使]    [アピナ伊那店@長野県@信越] Score: 1749091930 
35. KuriZZZZ  [謎の少女]    [アピナ塩尻店@長野県@信越] Score: 1748821281 
36. 9JO-NEGI  [有　罪]    [ソニックビーム松戸店@千葉県@関東] Score: 1748670720 
37. RAIn  [厄神様]    [プラサカプコン甲府店@山梨県@関東] Score: 1748396354 
