72. ICENON*  [God hive of Ra]    [アムズ・下通り店@熊本県@九州] Score: 1735567387 
431. CHUNITHM  [第三回天下一音ゲ祭 ファイナリスト]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1477472702 
513. Amakusa  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1398021234 
525. 99  [練習中]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1389704036 
555. ASLTO072  [Horizons God]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1359998001 
568. milk-T  [Ｓ級凡人]    [スポラ九品寺@熊本県@九州] Score: 1350200578 
596. MORUM0.  [地球割り神]    [ラウンドワン熊本店@熊本県@九州] Score: 1332132163 
803. AQUASKY  [I love GUMI]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1191016444 
830. PONOKA/K  [I FEEL EDM]    [スポラ菊陽@熊本県@九州] Score: 1179863120 
857. CONVERT  [悪魔の妹]    [スポラ菊陽@熊本県@九州] Score: 1168525334 
864. Quartet  [しんどい]    [スポラ九品寺@熊本県@九州] Score: 1164282436 
950. HAURA  [ＥＸ級序の口]    [アムズ・下通り店@熊本県@九州] Score: 1119767104 
