74. tope-kon  [歌って踊れるゲーマーアイドル]    [ラウンドワン盛岡店@岩手県@東北] Score: 1736237779 
106. cohalz  [全都道府県完全制覇]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1719303170 
129. LIMIO  [未確認幻想飛行少女]    [ラウンドワン盛岡店@岩手県@東北] Score: 1708649366 
256. AIR4545K  [青龍]    [セガ水沢@岩手県@東北] Score: 1629532724 
329. NAO  [EXTREME]    [さんさんらんど大船渡@岩手県@東北] Score: 1568062222 
413. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1494583311 
455. arx-8  [ECLIPSES EYE]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1456322571 
493. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1421009499 
501. Siomi  [太陽神]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1412460900 
535. Marg  [ハヤブサ]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1381731188 
560. SU-3*  [OMAKENO Kamisama]    [みらい夢　津志田店@岩手県@東北] Score: 1358236709 
814. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1189149703 
982. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1105464631 
