2. marirui  [カーナビ大王]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1773000000 
15. B  [Frey's God]    [セガ安城@愛知県@東海] Score: 1769246517 
29. HAKOBUN3  [Groove master? -xiRemix-]    [タイトーステーション大須店@愛知県@東海] Score: 1763298170 
36. HIKARU  [Starlight Road God]    [タイトーステーション大須店@愛知県@東海] Score: 1761269930 
60. Hirojixi  [夢現神]    [コムテックタワー@愛知県@東海] Score: 1751904469 
68. KUPU  [プリンシパリティ]    [タイトーステーション弥富店@愛知県@東海] Score: 1744521577 
93. HiBi  [紫電一閃]    [ポート２４幸田店@愛知県@東海] Score: 1733643278 
110. NOGUnSO  [Ｓ級幼稚園児]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1722738030 
129. CATEnary  [名も無い幼い少年]    [コムテックタワー@愛知県@東海] Score: 1712260351 
136. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1708937803 
143. NANAMI!?  [バジリスク]    [タイトーステーション大須店@愛知県@東海] Score: 1706868948 
152. daisuki  [世界の歌姫]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1704434122 
157. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1701744655 
246. #KEN*  [NEPTUNE]    [豊川メトロポリス@愛知県@東海] Score: 1639721603 
247. mrskon-G  [空想神]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1638755028 
257. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1631444996 
273. karinPTV  [I love "Lost Colors"]    [タイトーステーション大須店@愛知県@東海] Score: 1613858494 
297. Re:Rinne  [3EX]    [タイトーステーション大須店@愛知県@東海] Score: 1591438468 
301. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1589061694 
304. MAID+3rd  [練習中]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1587245040 
321. hosous  [バハムート]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1575307699 
333. orbit  [cyanine god]    [ポート２４八事店@愛知県@東海] Score: 1566769641 
336. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1564066477 
