27. CloudyB.  [真・千溝段]    [MOFUN SEOUL@Korea@海外] Score: 1768732994 
78. Verdure  [King of groove frontier.]    [ARCADE1@Korea@海外] Score: 1748090142 
84. A.S.HERO  [超シューティング神]    [STARMU GAME CENTER@Korea@海外] Score: 1744137340 
213. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1673712602 
342. Melonism  [秘弾「そして誰もいなくなるか？」]    [STARMU GAME CENTER@Korea@海外] Score: 1561504761 
404. KUROKO  [Starlight Road God]    [ARCADE1@Korea@海外] Score: 1505490302 
537. HyoJJi!  [I love 新生『でんぱ組.inc』]    [GAME TOPIA@Korea@海外] Score: 1382122666 
636. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1314144911 
675. SiL_VER1  [グルーヴ三百段]    [ARCADE1@Korea@海外] Score: 1287686292 
769. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1222682291 
797. Cree_Fry  [I LOVE 初音ミク]    [GAME TOPIA@Korea@海外] Score: 1203897652 
800. Quree  [サイエンスゴッド]    [ARCADE1@Korea@海外] Score: 1202336226 
880. mow*2  [Are you ready?]    [ARCADE1@Korea@海外] Score: 1160161289 
942. HPGOVER4  [うー！がぉー！]    [MOFUN SEOUL@Korea@海外] Score: 1132821869 
